Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1988,6953,6929,6876,6601,6779,6546,6605,6843,6604,6568,6537,6518
1989,6682,6359,6205,6468,6375,6577,6495,6511,6590,6630,6725,6667
1990,6752,6651,6598,6797,6742,6590,6922,7188,7368,7459,7764,7901
1991,8015,8265,8586,8439,8736,8692,8586,8666,8722,8842,8931,9198
1992,9283,9454,9460,9415,9744,10040,9850,9787,9781,9398,9565,9557
1993,9325,9183,9056,9110,9149,9121,8930,8763,8714,8750,8542,8477
1994,8630,8583,8470,8331,7915,7927,7946,7933,7734,7632,7375,7230
1995,7375,7187,7153,7645,7430,7427,7527,7484,7478,7328,7426,7423
1996,7491,7313,7318,7415,7423,7095,7337,6882,6979,7031,7236,7253
1997,7158,7102,7000,6873,6655,6799,6655,6608,6656,6454,6308,6476
1998,6368,6306,6422,5941,6047,6212,6259,6179,6300,6280,6100,6032
1999,5976,6111,5783,6004,5796,5951,6025,5838,5915,5778,5716,5653
2000,5708,5858,5733,5481,5758,5651,5747,5853,5625,5534,5639,5634
2001,6023,6089,6141,6271,6226,6484,6583,7042,7142,7694,8003,8258
2002,8182,8215,8304,8599,8399,8393,8390,8304,8251,8307,8520,8640
2003,8520,8618,8588,8842,8957,9266,9011,8896,8921,8732,8576,8317
2004,8370,8167,8491,8170,8212,8286,8136,7990,7927,8061,7932,7934
2005,7784,7980,7737,7672,7651,7524,7406,7345,7553,7453,7566,7279
2006,7064,7184,7072,7120,6980,7001,7175,7091,6847,6727,6872,6762
2007,7116,6927,6731,6850,6766,6979,7149,7067,7170,7237,7240,7645
2008,7685,7497,7822,7637,8395,8575,8937,9438,9494,10074,10538,11286
2009,12058,12898,13426,13853,14499,14707,14601,14814,15009,15352,15219,15098
2010,15046,15113,15202,15325,14849,14474,14512,14648,14579,14516,15081,14348
2011,14013,13820,13737,13957,13855,13962,13763,13818,13948,13594,13302,13093
2012,12797,12813,12713,12646,12660,12692,12656,12471,12115,12124,12005,12298
2013,12471,11950,11689,11760,11654,11751,11335,11279,11270,11136,10787,10404
2014,10202,10349,10380,9702,9859,9460,9608,9599,9262,8990,9090,8717
2015,8885,8599,8515,8550,8834,8247,8167,7992,7907,7922,8000,7907
2016,7627,7702,7961,8067,7652,7744,7641,7784,7953,7811,7553,7521
2017,7468,7379,7073,7089,7000,6873,6892,7082,6854,6700,6774,6632
2018,6489,6581,6472,6459,6196,6447,6195,6156,6073,6211,6115,6389
2019,6475,6136,6202,5961,5930,5935,6061,5945,5753,5871,5868,5853
2020,5869,5753,7206,23084,20929,17652,16352,13461,12554,11072,10694,10770
2021,10236,9995,9756,9762,9266,9462,8731,8276,7652,7279,6751,6398
2022,6512,6301,6014,6002,5983,5951,5768,5919,5792,5964,5943,5766
2023,5747,5962,5839,5751,6089,5958,5920,6284,6326,6479,6254,6315
2024,6149,6462,6497,6492,6635,6849,7097,7071,6901,6972,7121,6886
