sdscid,tenure,female,year,yearsq,select,articles,prestige,presthi,male,m_year,m_yearsq,m_select,m_articles,m_prestige,m_presthi,f_year,f_yearsq,f_select,f_articles,f_prestige,f_presthi,pdasample
2006,0,0,5,25,4.9499998,3,1.9400001,0,1,5,25,4.9499998,3,1.9400001,0,0,0,0,0,0,0,1
2006,1,0,6,36,4.9499998,4,1.9400001,0,1,6,36,4.9499998,4,1.9400001,0,0,0,0,0,0,0,1
2007,0,0,1,1,6,3,3.52,0,1,1,1,6,3,3.52,0,0,0,0,0,0,0,1
2007,0,0,2,4,6,6,2.52,0,1,2,4,6,6,2.52,0,0,0,0,0,0,0,1
2007,0,0,3,9,6,6,2.52,0,1,3,9,6,6,2.52,0,0,0,0,0,0,0,1
2007,0,0,4,16,6,8,2.52,0,1,4,16,6,8,2.52,0,0,0,0,0,0,0,1
2007,0,0,5,25,6,8,2.52,0,1,5,25,6,8,2.52,0,0,0,0,0,0,0,1
2007,1,0,6,36,6,9,2.52,0,1,6,36,6,9,2.52,0,0,0,0,0,0,0,1
2010,0,0,1,1,7,1,1.84,0,1,1,1,7,1,1.84,0,0,0,0,0,0,0,1
2010,0,0,2,4,7,1,3.2,0,1,2,4,7,1,3.2,0,0,0,0,0,0,0,1
2010,0,0,3,9,7,4,3.2,0,1,3,9,7,4,3.2,0,0,0,0,0,0,0,1
2010,1,0,4,16,7,4,1,0,1,4,16,7,4,1,0,0,0,0,0,0,0,1
2013,0,0,1,1,4.9499998,6,2.8800001,0,1,1,1,4.9499998,6,2.8800001,0,0,0,0,0,0,0,1
2013,0,0,2,4,4.9499998,6,2.8800001,0,1,2,4,4.9499998,6,2.8800001,0,0,0,0,0,0,0,1
2013,0,0,3,9,4.9499998,7,2.8800001,0,1,3,9,4.9499998,7,2.8800001,0,0,0,0,0,0,0,1
2013,1,0,4,16,4.9499998,8,2.8800001,0,1,4,16,4.9499998,8,2.8800001,0,0,0,0,0,0,0,1
2018,0,0,1,1,4.9499998,0,3.8399999,0,1,1,1,4.9499998,0,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,2,4,4.9499998,1,3.8399999,0,1,2,4,4.9499998,1,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,3,9,4.9499998,1,3.8399999,0,1,3,9,4.9499998,1,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,4,16,4.9499998,1,3.8399999,0,1,4,16,4.9499998,1,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,5,25,4.9499998,2,3.8399999,0,1,5,25,4.9499998,2,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,6,36,4.9499998,3,3.8399999,0,1,6,36,4.9499998,3,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,7,49,4.9499998,4,3.8399999,0,1,7,49,4.9499998,4,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,8,64,4.9499998,4,3.8399999,0,1,8,64,4.9499998,4,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,9,81,4.9499998,4,3.8399999,0,1,9,81,4.9499998,4,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,10,100,4.9499998,4,3.8399999,0,1,10,100,4.9499998,4,3.8399999,0,0,0,0,0,0,0,1
2018,0,0,11,121,4.9499998,4,3.8399999,0,1,11,121,4.9499998,4,3.8399999,0,0,0,0,0,0,0,0
2018,0,0,12,144,4.9499998,5,3.8399999,0,1,12,144,4.9499998,5,3.8399999,0,0,0,0,0,0,0,0
2020,0,0,1,1,5,5,2.1099999,0,1,1,1,5,5,2.1099999,0,0,0,0,0,0,0,1
2020,0,0,2,4,5,7,2.1099999,0,1,2,4,5,7,2.1099999,0,0,0,0,0,0,0,1
2020,0,0,3,9,5,9,2.1099999,0,1,3,9,5,9,2.1099999,0,0,0,0,0,0,0,1
2020,0,0,4,16,5,11,2.1099999,0,1,4,16,5,11,2.1099999,0,0,0,0,0,0,0,1
2020,1,0,5,25,5,15,2.1099999,0,1,5,25,5,15,2.1099999,0,0,0,0,0,0,0,1
2022,0,0,1,1,4,3,1.83,0,1,1,1,4,3,1.83,0,0,0,0,0,0,0,1
2022,0,0,2,4,4,3,1.83,0,1,2,4,4,3,1.83,0,0,0,0,0,0,0,1
2022,0,0,3,9,4,3,1.83,0,1,3,9,4,3,1.83,0,0,0,0,0,0,0,1
2022,0,0,4,16,4,4,1.83,0,1,4,16,4,4,1.83,0,0,0,0,0,0,0,1
2022,1,0,5,25,4,5,1.83,0,1,5,25,4,5,1.83,0,0,0,0,0,0,0,1
2023,0,0,1,1,4.9499998,5,3.52,0,1,1,1,4.9499998,5,3.52,0,0,0,0,0,0,0,1
2023,0,0,2,4,4.9499998,6,3.52,0,1,2,4,4.9499998,6,3.52,0,0,0,0,0,0,0,1
2023,0,0,3,9,4.9499998,6,3.52,0,1,3,9,4.9499998,6,3.52,0,0,0,0,0,0,0,1
2023,0,0,4,16,4.9499998,7,3.52,0,1,4,16,4.9499998,7,3.52,0,0,0,0,0,0,0,1
2023,0,0,5,25,4.9499998,8,3.52,0,1,5,25,4.9499998,8,3.52,0,0,0,0,0,0,0,1
2023,0,0,6,36,4.9499998,11,3.52,0,1,6,36,4.9499998,11,3.52,0,0,0,0,0,0,0,1
2023,1,0,7,49,4.9499998,11,3.3599999,0,1,7,49,4.9499998,11,3.3599999,0,0,0,0,0,0,0,1
2025,0,0,1,1,5,2,3.8399999,0,1,1,1,5,2,3.8399999,0,0,0,0,0,0,0,1
2025,0,0,2,4,5,2,3.8399999,0,1,2,4,5,2,3.8399999,0,0,0,0,0,0,0,1
2025,0,0,3,9,5,3,3.8399999,0,1,3,9,5,3,3.8399999,0,0,0,0,0,0,0,1
2025,1,0,4,16,5,12,3.8399999,0,1,4,16,5,12,3.8399999,0,0,0,0,0,0,0,1
2028,0,0,1,1,4,6,2.1199999,0,1,1,1,4,6,2.1199999,0,0,0,0,0,0,0,1
2028,0,0,2,4,4,6,2.1199999,0,1,2,4,4,6,2.1199999,0,0,0,0,0,0,0,1
2028,0,0,3,9,4,6,2.1199999,0,1,3,9,4,6,2.1199999,0,0,0,0,0,0,0,1
2028,0,0,4,16,4,8,2.1199999,0,1,4,16,4,8,2.1199999,0,0,0,0,0,0,0,1
2028,1,0,5,25,4,11,2.1199999,0,1,5,25,4,11,2.1199999,0,0,0,0,0,0,0,1
2029,0,0,1,1,4,4,1.9400001,0,1,1,1,4,4,1.9400001,0,0,0,0,0,0,0,1
2029,0,0,2,4,4,4,1.9400001,0,1,2,4,4,4,1.9400001,0,0,0,0,0,0,0,1
2029,0,0,3,9,4,5,1.9400001,0,1,3,9,4,5,1.9400001,0,0,0,0,0,0,0,1
2029,1,0,4,16,4,5,1.9400001,0,1,4,16,4,5,1.9400001,0,0,0,0,0,0,0,1
2030,0,0,1,1,5,1,2.0999999,0,1,1,1,5,1,2.0999999,0,0,0,0,0,0,0,1
2030,0,0,2,4,5,2,2.0999999,0,1,2,4,5,2,2.0999999,0,0,0,0,0,0,0,1
2030,0,0,3,9,5,2,2.0999999,0,1,3,9,5,2,2.0999999,0,0,0,0,0,0,0,1
2030,0,0,4,16,5,4,2.0999999,0,1,4,16,5,4,2.0999999,0,0,0,0,0,0,0,1
2030,0,0,5,25,5,7,2.0999999,0,1,5,25,5,7,2.0999999,0,0,0,0,0,0,0,1
2030,0,0,6,36,5,7,2.0999999,0,1,6,36,5,7,2.0999999,0,0,0,0,0,0,0,1
2030,0,0,7,49,5,9,2.0999999,0,1,7,49,5,9,2.0999999,0,0,0,0,0,0,0,1
2030,0,0,8,64,5,11,2.0999999,0,1,8,64,5,11,2.0999999,0,0,0,0,0,0,0,1
2034,0,0,1,1,7,9,3.2,0,1,1,1,7,9,3.2,0,0,0,0,0,0,0,1
2034,0,0,2,4,7,13,3.2,0,1,2,4,7,13,3.2,0,0,0,0,0,0,0,1
2034,1,0,3,9,7,16,3.2,0,1,3,9,7,16,3.2,0,0,0,0,0,0,0,1
2036,0,0,1,1,2,4,3.04,0,1,1,1,2,4,3.04,0,0,0,0,0,0,0,1
2036,0,0,2,4,2,4,3.04,0,1,2,4,2,4,3.04,0,0,0,0,0,0,0,1
2036,0,0,3,9,2,6,3.04,0,1,3,9,2,6,3.04,0,0,0,0,0,0,0,1
2036,0,0,4,16,2,6,3.04,0,1,4,16,2,6,3.04,0,0,0,0,0,0,0,1
2036,0,0,5,25,2,13,3.04,0,1,5,25,2,13,3.04,0,0,0,0,0,0,0,1
2036,0,0,6,36,2,19,3.04,0,1,6,36,2,19,3.04,0,0,0,0,0,0,0,1
2036,0,0,7,49,2,22,3.04,0,1,7,49,2,22,3.04,0,0,0,0,0,0,0,1
2036,0,0,8,64,2,27,3.04,0,1,8,64,2,27,3.04,0,0,0,0,0,0,0,1
2036,0,0,9,81,2,33,3.04,0,1,9,81,2,33,3.04,0,0,0,0,0,0,0,1
2036,0,0,10,100,2,35,3.04,0,1,10,100,2,35,3.04,0,0,0,0,0,0,0,1
2036,0,0,11,121,2,38,3.04,0,1,11,121,2,38,3.04,0,0,0,0,0,0,0,0
2036,1,0,12,144,2,41,3.04,0,1,12,144,2,41,3.04,0,0,0,0,0,0,0,0
2037,0,0,1,1,7,3,1.9400001,0,1,1,1,7,3,1.9400001,0,0,0,0,0,0,0,1
2037,0,0,2,4,7,5,1.9400001,0,1,2,4,7,5,1.9400001,0,0,0,0,0,0,0,1
2037,1,0,3,9,7,7,1.9400001,0,1,3,9,7,7,1.9400001,0,0,0,0,0,0,0,1
2040,0,0,1,1,5,4,3.04,0,1,1,1,5,4,3.04,0,0,0,0,0,0,0,1
2040,0,0,2,4,5,5,3.04,0,1,2,4,5,5,3.04,0,0,0,0,0,0,0,1
2040,0,0,3,9,5,5,3.04,0,1,3,9,5,5,3.04,0,0,0,0,0,0,0,1
2040,0,0,4,16,5,5,3.04,0,1,4,16,5,5,3.04,0,0,0,0,0,0,0,1
2040,0,0,5,25,5,5,3.04,0,1,5,25,5,5,3.04,0,0,0,0,0,0,0,1
2042,0,0,1,1,4,3,3.2,0,1,1,1,4,3,3.2,0,0,0,0,0,0,0,1
2042,0,0,2,4,4,4,3.2,0,1,2,4,4,4,3.2,0,0,0,0,0,0,0,1
2042,0,0,3,9,4,5,3.2,0,1,3,9,4,5,3.2,0,0,0,0,0,0,0,1
2042,1,0,4,16,4,8,3.2,0,1,4,16,4,8,3.2,0,0,0,0,0,0,0,1
2044,0,0,1,1,2,4,3.2,0,1,1,1,2,4,3.2,0,0,0,0,0,0,0,1
2044,0,0,2,4,2,6,3.2,0,1,2,4,2,6,3.2,0,0,0,0,0,0,0,1
2044,0,0,3,9,2,7,3.2,0,1,3,9,2,7,3.2,0,0,0,0,0,0,0,1
2044,1,0,4,16,2,7,3.2,0,1,4,16,2,7,3.2,0,0,0,0,0,0,0,1
2047,0,0,1,1,5,19,1.255,0,1,1,1,5,19,1.255,0,0,0,0,0,0,0,1
2047,0,0,2,4,5,21,1.255,0,1,2,4,5,21,1.255,0,0,0,0,0,0,0,1
2047,0,0,3,9,5,23,1.255,0,1,3,9,5,23,1.255,0,0,0,0,0,0,0,1
2047,0,0,4,16,5,26,1.255,0,1,4,16,5,26,1.255,0,0,0,0,0,0,0,1
2047,0,0,5,25,5,29,1.255,0,1,5,25,5,29,1.255,0,0,0,0,0,0,0,1
2047,1,0,6,36,5,36,1.255,0,1,6,36,5,36,1.255,0,0,0,0,0,0,0,1
2048,0,0,1,1,6,1,1.95,0,1,1,1,6,1,1.95,0,0,0,0,0,0,0,1
2048,0,0,2,4,6,2,1.95,0,1,2,4,6,2,1.95,0,0,0,0,0,0,0,1
2048,0,0,3,9,6,3,1.95,0,1,3,9,6,3,1.95,0,0,0,0,0,0,0,1
2048,0,0,4,16,6,5,1.95,0,1,4,16,6,5,1.95,0,0,0,0,0,0,0,1
2048,1,0,5,25,6,5,1.95,0,1,5,25,6,5,1.95,0,0,0,0,0,0,0,1
2049,0,0,1,1,5,2,2.5599999,0,1,1,1,5,2,2.5599999,0,0,0,0,0,0,0,1
2049,0,0,2,4,5,2,2.5599999,0,1,2,4,5,2,2.5599999,0,0,0,0,0,0,0,1
2049,0,0,3,9,5,2,2.5599999,0,1,3,9,5,2,2.5599999,0,0,0,0,0,0,0,1
2049,0,0,4,16,5,2,2.5599999,0,1,4,16,5,2,2.5599999,0,0,0,0,0,0,0,1
2049,1,0,5,25,5,3,2.5599999,0,1,5,25,5,3,2.5599999,0,0,0,0,0,0,0,1
2051,0,0,1,1,6,0,3.52,0,1,1,1,6,0,3.52,0,0,0,0,0,0,0,1
2051,0,0,2,4,6,3,3.52,0,1,2,4,6,3,3.52,0,0,0,0,0,0,0,1
2051,0,0,3,9,6,3,3.52,0,1,3,9,6,3,3.52,0,0,0,0,0,0,0,1
2051,0,0,4,16,6,3,3.52,0,1,4,16,6,3,3.52,0,0,0,0,0,0,0,1
2051,0,0,5,25,6,4,3.52,0,1,5,25,6,4,3.52,0,0,0,0,0,0,0,1
2051,0,0,6,36,6,5,3.52,0,1,6,36,6,5,3.52,0,0,0,0,0,0,0,1
2051,0,0,7,49,6,5,2.0999999,0,1,7,49,6,5,2.0999999,0,0,0,0,0,0,0,1
2051,0,0,8,64,6,5,2.0999999,0,1,8,64,6,5,2.0999999,0,0,0,0,0,0,0,1
2051,0,0,9,81,6,6,2.0999999,0,1,9,81,6,6,2.0999999,0,0,0,0,0,0,0,1
2051,0,0,10,100,6,7,2.0999999,0,1,10,100,6,7,2.0999999,0,0,0,0,0,0,0,1
2051,0,0,11,121,6,7,2.0999999,0,1,11,121,6,7,2.0999999,0,0,0,0,0,0,0,0
2051,0,0,12,144,6,7,2.0999999,0,1,12,144,6,7,2.0999999,0,0,0,0,0,0,0,0
2052,0,0,1,1,4,2,1.53,0,1,1,1,4,2,1.53,0,0,0,0,0,0,0,1
2052,0,0,2,4,4,5,1.53,0,1,2,4,4,5,1.53,0,0,0,0,0,0,0,1
2052,0,0,3,9,4,5,1.53,0,1,3,9,4,5,1.53,0,0,0,0,0,0,0,1
2052,0,0,4,16,4,6,1.53,0,1,4,16,4,6,1.53,0,0,0,0,0,0,0,1
2052,1,0,5,25,4,7,3.8399999,0,1,5,25,4,7,3.8399999,0,0,0,0,0,0,0,1
2056,0,0,1,1,7,6,2.0999999,0,1,1,1,7,6,2.0999999,0,0,0,0,0,0,0,1
2056,0,0,2,4,7,11,2.0999999,0,1,2,4,7,11,2.0999999,0,0,0,0,0,0,0,1
2056,0,0,3,9,7,15,2.0999999,0,1,3,9,7,15,2.0999999,0,0,0,0,0,0,0,1
2056,0,0,4,16,7,19,2.0999999,0,1,4,16,7,19,2.0999999,0,0,0,0,0,0,0,1
2056,0,0,5,25,7,24,2.0999999,0,1,5,25,7,24,2.0999999,0,0,0,0,0,0,0,1
2056,0,0,6,36,7,28,2.0999999,0,1,6,36,7,28,2.0999999,0,0,0,0,0,0,0,1
2056,1,0,7,49,7,32,2.0999999,0,1,7,49,7,32,2.0999999,0,0,0,0,0,0,0,1
2057,0,0,1,1,5,0,2.72,0,1,1,1,5,0,2.72,0,0,0,0,0,0,0,1
2057,0,0,2,4,5,1,2.72,0,1,2,4,5,1,2.72,0,0,0,0,0,0,0,1
2057,0,0,3,9,5,5,2.72,0,1,3,9,5,5,2.72,0,0,0,0,0,0,0,1
2057,1,0,4,16,5,8,2.72,0,1,4,16,5,8,2.72,0,0,0,0,0,0,0,1
2059,0,0,1,1,4,2,2.0799999,0,1,1,1,4,2,2.0799999,0,0,0,0,0,0,0,1
2059,0,0,2,4,4,2,2.0799999,0,1,2,4,4,2,2.0799999,0,0,0,0,0,0,0,1
2059,0,0,3,9,4,2,2.0799999,0,1,3,9,4,2,2.0799999,0,0,0,0,0,0,0,1
2060,0,0,1,1,4,5,4.6399999,1,1,1,1,4,5,4.6399999,1,0,0,0,0,0,0,1
2060,0,0,2,4,4,7,4.6399999,1,1,2,4,4,7,4.6399999,1,0,0,0,0,0,0,1
2060,0,0,3,9,4,10,4.6399999,1,1,3,9,4,10,4.6399999,1,0,0,0,0,0,0,1
2060,0,0,4,16,4,12,4.6399999,1,1,4,16,4,12,4.6399999,1,0,0,0,0,0,0,1
2060,0,0,5,25,4,16,4.6399999,1,1,5,25,4,16,4.6399999,1,0,0,0,0,0,0,1
2060,1,0,6,36,4,19,4.6399999,1,1,6,36,4,19,4.6399999,1,0,0,0,0,0,0,1
2062,0,0,1,1,4.9499998,7,3.8399999,0,1,1,1,4.9499998,7,3.8399999,0,0,0,0,0,0,0,1
2062,0,0,2,4,4.9499998,9,3.8399999,0,1,2,4,4.9499998,9,3.8399999,0,0,0,0,0,0,0,1
2062,1,0,3,9,4.9499998,14,1.72,0,1,3,9,4.9499998,14,1.72,0,0,0,0,0,0,0,1
2068,0,0,1,1,7,9,3.52,0,1,1,1,7,9,3.52,0,0,0,0,0,0,0,1
2068,0,0,2,4,7,9,3.52,0,1,2,4,7,9,3.52,0,0,0,0,0,0,0,1
2068,0,0,3,9,7,11,3.52,0,1,3,9,7,11,3.52,0,0,0,0,0,0,0,1
2068,0,0,4,16,7,14,3.52,0,1,4,16,7,14,3.52,0,0,0,0,0,0,0,1
2068,1,0,5,25,7,15,3.52,0,1,5,25,7,15,3.52,0,0,0,0,0,0,0,1
2072,0,0,1,1,4.9499998,2,1.98,0,1,1,1,4.9499998,2,1.98,0,0,0,0,0,0,0,1
2072,0,0,2,4,4.9499998,4,1.98,0,1,2,4,4.9499998,4,1.98,0,0,0,0,0,0,0,1
2072,0,0,3,9,4.9499998,4,1.98,0,1,3,9,4.9499998,4,1.98,0,0,0,0,0,0,0,1
2072,1,0,4,16,4.9499998,7,1.98,0,1,4,16,4.9499998,7,1.98,0,0,0,0,0,0,0,1
2074,0,0,1,1,4.9499998,4,2.5599999,0,1,1,1,4.9499998,4,2.5599999,0,0,0,0,0,0,0,1
2074,0,0,2,4,4.9499998,8,2.5599999,0,1,2,4,4.9499998,8,2.5599999,0,0,0,0,0,0,0,1
2074,0,0,3,9,4.9499998,8,2.72,0,1,3,9,4.9499998,8,2.72,0,0,0,0,0,0,0,1
2074,0,0,4,16,4.9499998,10,2.72,0,1,4,16,4.9499998,10,2.72,0,0,0,0,0,0,0,1
2074,1,0,5,25,4.9499998,13,2.72,0,1,5,25,4.9499998,13,2.72,0,0,0,0,0,0,0,1
2076,0,0,1,1,7,1,2.5599999,0,1,1,1,7,1,2.5599999,0,0,0,0,0,0,0,1
2076,0,0,2,4,7,1,2.5599999,0,1,2,4,7,1,2.5599999,0,0,0,0,0,0,0,1
2076,0,0,3,9,7,1,2.5599999,0,1,3,9,7,1,2.5599999,0,0,0,0,0,0,0,1
2076,0,0,4,16,7,1,2.5599999,0,1,4,16,7,1,2.5599999,0,0,0,0,0,0,0,1
2076,0,0,5,25,7,1,2.5599999,0,1,5,25,7,1,2.5599999,0,0,0,0,0,0,0,1
2076,0,0,6,36,7,1,2.5599999,0,1,6,36,7,1,2.5599999,0,0,0,0,0,0,0,1
2076,0,0,7,49,7,3,2.5599999,0,1,7,49,7,3,2.5599999,0,0,0,0,0,0,0,1
2076,0,0,8,64,7,3,2.5599999,0,1,8,64,7,3,2.5599999,0,0,0,0,0,0,0,1
2076,1,0,9,81,7,3,1.9,0,1,9,81,7,3,1.9,0,0,0,0,0,0,0,1
2078,0,0,1,1,4.9499998,7,3.2,0,1,1,1,4.9499998,7,3.2,0,0,0,0,0,0,0,1
2078,0,0,2,4,4.9499998,7,3.2,0,1,2,4,4.9499998,7,3.2,0,0,0,0,0,0,0,1
2078,0,0,3,9,4.9499998,8,3.2,0,1,3,9,4.9499998,8,3.2,0,0,0,0,0,0,0,1
2078,0,0,4,16,4.9499998,9,3.2,0,1,4,16,4.9499998,9,3.2,0,0,0,0,0,0,0,1
2078,0,0,5,25,4.9499998,9,3.2,0,1,5,25,4.9499998,9,3.2,0,0,0,0,0,0,0,1
2078,0,0,6,36,4.9499998,12,3.2,0,1,6,36,4.9499998,12,3.2,0,0,0,0,0,0,0,1
2078,0,0,7,49,4.9499998,12,3.2,0,1,7,49,4.9499998,12,3.2,0,0,0,0,0,0,0,1
2078,1,0,8,64,4.9499998,15,3.2,0,1,8,64,4.9499998,15,3.2,0,0,0,0,0,0,0,1
2080,0,0,1,1,7,4,3.3599999,0,1,1,1,7,4,3.3599999,0,0,0,0,0,0,0,1
2080,0,0,2,4,7,5,3.3599999,0,1,2,4,7,5,3.3599999,0,0,0,0,0,0,0,1
2080,0,0,3,9,7,9,3.3599999,0,1,3,9,7,9,3.3599999,0,0,0,0,0,0,0,1
2080,0,0,4,16,7,12,3.3599999,0,1,4,16,7,12,3.3599999,0,0,0,0,0,0,0,1
2080,1,0,5,25,7,16,3.3599999,0,1,5,25,7,16,3.3599999,0,0,0,0,0,0,0,1
2082,0,0,1,1,7,7,3.2,0,1,1,1,7,7,3.2,0,0,0,0,0,0,0,1
2082,0,0,2,4,7,7,3.2,0,1,2,4,7,7,3.2,0,0,0,0,0,0,0,1
2082,0,0,3,9,7,8,3.2,0,1,3,9,7,8,3.2,0,0,0,0,0,0,0,1
2082,0,0,4,16,7,9,3.2,0,1,4,16,7,9,3.2,0,0,0,0,0,0,0,1
2082,0,0,5,25,7,11,3.2,0,1,5,25,7,11,3.2,0,0,0,0,0,0,0,1
2082,1,0,6,36,7,12,3.2,0,1,6,36,7,12,3.2,0,0,0,0,0,0,0,1
2083,0,0,1,1,5,1,1.58,0,1,1,1,5,1,1.58,0,0,0,0,0,0,0,1
2083,0,0,2,4,5,1,1.58,0,1,2,4,5,1,1.58,0,0,0,0,0,0,0,1
2083,0,0,3,9,5,3,1.58,0,1,3,9,5,3,1.58,0,0,0,0,0,0,0,1
2083,0,0,4,16,5,5,1.58,0,1,4,16,5,5,1.58,0,0,0,0,0,0,0,1
2083,1,0,5,25,5,5,1.58,0,1,5,25,5,5,1.58,0,0,0,0,0,0,0,1
2084,0,0,1,1,5,3,3.04,0,1,1,1,5,3,3.04,0,0,0,0,0,0,0,1
2084,0,0,2,4,5,3,3.04,0,1,2,4,5,3,3.04,0,0,0,0,0,0,0,1
2084,0,0,3,9,5,3,3.04,0,1,3,9,5,3,3.04,0,0,0,0,0,0,0,1
2084,0,0,4,16,5,3,3.04,0,1,4,16,5,3,3.04,0,0,0,0,0,0,0,1
2084,0,0,5,25,5,3,3.04,0,1,5,25,5,3,3.04,0,0,0,0,0,0,0,1
2084,0,0,6,36,5,3,3.04,0,1,6,36,5,3,3.04,0,0,0,0,0,0,0,1
2084,0,0,7,49,5,4,3.04,0,1,7,49,5,4,3.04,0,0,0,0,0,0,0,1
2084,1,0,8,64,5,7,3.04,0,1,8,64,5,7,3.04,0,0,0,0,0,0,0,1
2086,0,0,1,1,3,1,1.72,0,1,1,1,3,1,1.72,0,0,0,0,0,0,0,1
2086,0,0,2,4,3,1,1.72,0,1,2,4,3,1,1.72,0,0,0,0,0,0,0,1
2086,0,0,3,9,3,2,1.72,0,1,3,9,3,2,1.72,0,0,0,0,0,0,0,1
2086,0,0,4,16,3,3,1.72,0,1,4,16,3,3,1.72,0,0,0,0,0,0,0,1
2086,0,0,5,25,3,4,1.72,0,1,5,25,3,4,1.72,0,0,0,0,0,0,0,1
2086,1,0,6,36,3,6,1.72,0,1,6,36,3,6,1.72,0,0,0,0,0,0,0,1
2093,0,0,1,1,4.9499998,7,3.04,0,1,1,1,4.9499998,7,3.04,0,0,0,0,0,0,0,1
2093,0,0,2,4,4.9499998,7,3.04,0,1,2,4,4.9499998,7,3.04,0,0,0,0,0,0,0,1
2093,1,0,3,9,4.9499998,7,3.04,0,1,3,9,4.9499998,7,3.04,0,0,0,0,0,0,0,1
2094,0,0,1,1,4.9499998,4,1.9400001,0,1,1,1,4.9499998,4,1.9400001,0,0,0,0,0,0,0,1
2094,0,0,2,4,4.9499998,6,1.9400001,0,1,2,4,4.9499998,6,1.9400001,0,0,0,0,0,0,0,1
2094,0,0,3,9,4.9499998,8,1.84,0,1,3,9,4.9499998,8,1.84,0,0,0,0,0,0,0,1
2094,0,0,4,16,4.9499998,9,1.84,0,1,4,16,4.9499998,9,1.84,0,0,0,0,0,0,0,1
2094,0,0,5,25,4.9499998,12,1.84,0,1,5,25,4.9499998,12,1.84,0,0,0,0,0,0,0,1
2094,0,0,6,36,4.9499998,13,1.84,0,1,6,36,4.9499998,13,1.84,0,0,0,0,0,0,0,1
2094,0,0,7,49,4.9499998,15,1.84,0,1,7,49,4.9499998,15,1.84,0,0,0,0,0,0,0,1
2094,1,0,8,64,4.9499998,19,1.84,0,1,8,64,4.9499998,19,1.84,0,0,0,0,0,0,0,1
2098,0,0,1,1,4.9499998,13,3.52,0,1,1,1,4.9499998,13,3.52,0,0,0,0,0,0,0,1
2098,0,0,2,4,4.9499998,13,3.52,0,1,2,4,4.9499998,13,3.52,0,0,0,0,0,0,0,1
2098,0,0,3,9,4.9499998,16,3.52,0,1,3,9,4.9499998,16,3.52,0,0,0,0,0,0,0,1
