Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,race,voted,married,familysize,major
4,4,4,5,5,5,4,4,2,5,4,2,2,1,5,7029,8102,4129,2594,3200,2135,5292,2713,3219,6409,6722,4452,5425,5516,6739,8,75,145,3,7,1,7,7,3,1,2,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,2,2,3,1,20,1,12,3,5,1,1,2,
5,5,1,5,5,5,3,1,1,5,5,5,1,5,5,6666,9774,4561,5151,18112,5224,14545,3153,7848,6400,4743,9560,7025,7711,4977,9,116,133,7,4,4,1,7,4,7,5,7,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2,1,1,1,40,2,1,1,4,2,3,3,
5,4,2,4,5,5,3,3,5,3,4,3,3,3,5,13008,24388,4530,14068,8564,8017,5934,4333,6133,9736,6132,7434,7932,9482,4085,29,135,224,6,2,6,1,6,5,7,4,5,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,1,1,32,1,7,1,4,2,1,3,Sociology
5,4,4,5,4,5,5,5,5,5,5,5,4,4,5,2542,7281,4167,3141,2609,4556,4835,3934,6784,2704,2099,5810,7005,5434,2250,114,66,313,2,2,6,5,7,6,7,5,6,2,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,3,2,2,1,41,1,1,1,4,2,2,3,English Literature & Language
5,4,5,5,5,5,5,5,5,5,4,3,5,5,5,5096,11362,3979,4055,4203,3674,3801,2039,3868,7182,17674,11767,4664,3233,3825,308,92,192,1,1,1,6,5,7,7,7,1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,2,3,2,2,14,1,1,2,5,2,1,2,
4,4,2,5,5,4,5,1,3,5,4,5,4,5,5,6737,947,4648,1066,2170,2935,2912,2752,4238,3174,4677,2934,4058,2460,2000,2,49,107,1,7,5,4,6,7,1,6,7,5,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,16,1,12,4,4,2,1,2,
4,4,1,3,4,2,4,1,1,4,4,1,1,4,4,6873,9497,3510,6266,5233,7274,5089,2198,2657,4499,3133,6301,1938,5539,3797,3,75,120,5,5,3,2,5,6,5,6,7,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,3,1,1,35,1,4,1,4,2,1,3,Religious Studies
2,1,1,1,1,1,1,1,1,2,2,1,1,1,2,11919,7199,3962,3836,5994,4602,4565,2302,4898,11494,11431,4013,4098,4416,9127,469,95,136,5,5,5,6,4,5,5,6,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,18,1,2,3,4,2,1,3,biology
4,2,1,1,1,1,1,1,1,3,2,2,1,2,3,5435,5931,3280,4895,10879,4674,3915,1593,3490,5404,10423,9528,3889,5165,6193,876,86,139,2,5,5,3,6,6,6,5,6,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,3,2,1,46,3,6,1,4,2,1,2,biology
5,2,1,3,4,3,2,3,4,4,4,2,4,4,4,7163,8733,7074,6617,5009,9176,6607,5986,8090,6617,3595,5746,6413,4580,5350,3,98,177,3,5,3,6,6,3,6,6,2,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,1,1,1,44,1,5,1,4,2,2,5,Political Science
3,1,1,1,1,2,1,1,1,1,1,1,1,2,2,22597,9636,2533,4053,2574,6917,4289,3079,2955,3205,11356,2799,3329,12757,15492,38,108,168,3,5,2,2,7,6,4,5,5,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,2,1,17,1,1,2,5,2,1,6,
3,2,4,3,4,3,3,4,2,3,3,2,4,2,3,6549,2845,2757,47990,37449,2055,11751,3050,9338,11003,53367,3603,4325,86187,86354,14,370,286,5,5,7,6,5,3,7,4,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,18,1,6,1,4,2,1,3,
4,5,1,3,4,4,4,1,1,4,3,4,1,3,5,16001,4679,4313,5681,7657,5225,3896,2321,7673,6337,5048,4263,2083,9864,4905,2284,94,324,7,5,6,2,6,2,4,2,4,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,3,2,1,2,45,1,2,1,4,1,2,3,Law
5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,19032,11489,8121,7511,6932,6199,6069,5015,6229,7905,8868,8713,10643,7216,6502,6,128,253,4,4,5,6,6,4,6,2,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,2,1,41,1,12,3,4,2,1,2,Fashion Technology 
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4698,6565,3806,3148,3726,3274,5164,1999,3112,5573,16340,5935,4344,3265,6642,775,79,249,6,2,6,5,6,3,6,1,4,2,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,2,1,1,51,2,12,1,4,2,2,3,Political Science
1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,4948,1000,1104,2503,8881,6168,1728,1392,1360,3344,2712,4944,3152,4052,6539,202,55,88,2,5,5,2,5,7,5,5,6,6,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,3,3,1,1,26,1,12,1,4,1,1,2,Computer Science
2,1,1,1,3,3,2,4,1,5,1,1,1,1,4,181838,5519,5643,524,2863,2762,2842,1990,9718,4278,3136,2547,1132,3418,2435,406,232,75,7,6,3,6,6,3,5,6,1,5,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,3,2,3,1,23,1,12,2,4,1,1,2,Chemistry
4,1,1,2,1,2,1,1,1,2,4,1,1,3,4,5260,7149,4121,5951,4045,6639,6151,2266,2300,3467,3902,6136,5707,7296,4333,3,77,104,2,2,3,7,7,3,4,7,3,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,1,3,1,26,1,2,2,4,2,1,1,
3,1,1,1,1,5,1,1,5,2,4,1,1,4,5,10099,6558,2856,5699,3039,4593,3552,3623,3757,6768,6515,7739,2149,7846,6337,1,82,124,1,4,2,6,7,6,4,5,3,2,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,1,1,18,1,2,1,4,2,1,3,
4,4,2,4,4,4,4,4,4,4,5,4,3,4,5,8036,7315,5312,5552,5286,5336,4488,2583,3073,5383,6007,4857,6335,4615,4120,8,79,126,3,6,4,6,6,7,6,5,4,5,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,22,1,2,1,4,2,1,4,
3,3,3,1,4,1,5,3,1,5,1,1,3,5,5,4484,1174,15551,12298,2472,10102,2616,3400,5682,5367,11631,3310,2122,8310,4466,2,111,250,1,7,7,6,7,7,6,1,7,4,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,1,1,14,1,2,1,4,2,1,6,every engineering field possible
5,1,3,5,5,5,2,5,4,4,5,2,3,4,5,8490,19280,6248,7225,7349,4526,6150,6200,8722,9415,9108,5795,6395,13838,3585,6,124,189,2,5,5,6,5,5,7,5,3,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,1,2,1,34,1,1,3,4,2,1,3,Art
4,5,1,4,4,4,5,1,4,5,4,5,1,4,4,5673,7227,5061,5711,1879,8944,4476,2034,6568,6354,4486,4952,5905,5703,7044,2754,83,122,1,5,4,6,5,6,2,7,5,6,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,2,1,23,1,12,4,4,2,1,2,philosophy
4,5,2,2,4,3,4,2,1,4,3,3,1,2,3,8227,17656,2268,10289,8886,6272,15367,7269,4989,7831,6552,12948,1697,9117,4805,2,126,217,1,5,3,6,4,7,6,3,3,2,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,2,2,24,1,1,1,4,1,1,4,"Philosophy, Educational studies"
4,5,1,1,1,1,5,1,1,5,3,3,1,2,4,5012,5785,5398,1770,3840,3507,6735,2750,1703,8965,8815,6140,2502,9869,5790,6,80,116,5,5,3,7,3,2,6,2,1,2,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,2,2,1,22,1,2,2,4,2,1,6,English
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7694,979,2013,2405,1507,1668,3800,1162,1497,1679,3587,2002,4327,1496,920,3,39,127,4,1,6,1,5,5,6,6,7,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,4,3,2,1,63,1,7,1,4,2,3,3,Engineering
5,5,5,4,4,5,2,5,2,5,5,4,5,5,5,3433,5134,2664,6192,6296,4208,3408,3240,4128,5560,3296,5616,3592,5152,2879,3,65,103,2,3,1,6,6,7,6,6,3,2,0,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,19,1,4,3,4,2,1,5,Creative Writing
4,1,1,2,4,3,1,3,1,3,5,1,1,2,4,8362,12764,5424,12648,10064,5902,13385,6154,729,17939,21322,13324,6106,6290,19737,13,169,252,2,5,5,0,6,6,2,5,0,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,4,2,1,1,19,1,1,1,4,1,1,1,
2,3,3,2,3,4,2,2,3,4,5,2,3,3,5,6263,3652,3573,2905,4323,3129,3208,2331,12537,4415,6267,2921,3669,4135,2975,4,71,121,4,6,6,5,3,5,5,4,3,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,22,1,1,3,4,2,1,2,English Lit and Film
2,3,2,2,4,1,3,2,3,2,3,4,2,3,4,11498,11836,9236,6244,5096,8528,7136,5332,5816,8016,6952,5960,5532,4959,5040,7,108,86,3,3,6,4,6,6,5,2,6,1,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,2,1,62,1,1,1,4,1,1,2,
5,3,1,4,5,5,3,3,2,5,4,4,1,4,5,6758,7242,3620,4602,5261,4017,6474,3652,10912,6509,12146,8124,8803,8948,4596,6,103,111,3,5,7,6,6,7,6,2,2,4,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,2,3,2,2,19,1,1,5,4,2,1,1,
1,2,2,1,3,1,1,1,1,4,4,1,2,2,4,13671,15555,9384,4240,14433,6023,4873,1455,6416,4433,8343,4777,8591,7577,5328,9,116,184,4,1,7,1,6,6,7,2,7,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,3,1,2,1,34,1,4,1,4,2,2,2,communications
5,4,4,4,4,5,4,2,5,5,5,4,3,5,5,6078,13649,4537,15013,10605,39743,16045,5177,3913,2612,4563,27805,11271,15300,4875,4,185,129,1,5,6,4,1,7,1,2,4,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,2,3,2,2,20,1,2,1,5,1,1,2,
2,1,1,1,1,2,2,1,1,1,4,2,1,3,4,24028,5113,3382,5348,2513,13128,6801,3224,2334,5723,24820,12652,4921,9720,7631,9,134,128,2,5,5,2,6,5,2,4,5,3,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,4,1,1,1,35,1,1,1,4,1,1,2,Law
4,3,1,5,5,5,4,1,4,5,5,1,1,5,5,4243,7673,3639,4589,5543,3552,5933,3169,2798,6843,4773,6174,2693,6305,3490,3,73,105,1,6,5,7,7,7,5,7,2,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,2,2,1,16,3,7,2,4,2,1,15,
2,1,1,1,1,1,1,1,1,3,2,1,1,1,4,4868,3535,3465,3343,2446,4222,5162,1351,2187,4091,14587,2920,3898,2985,3629,32,67,75,2,5,2,3,3,5,2,6,3,3,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,3,1,2,28,1,2,1,4,2,1,1,law
4,1,1,4,5,5,1,4,1,1,4,1,2,4,5,8187,85705,6417,9156,6133,9268,8932,4000,5255,4382,9032,107253,6947,6393,4272,17,284,221,2,6,3,5,6,6,2,6,3,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,16,1,3,2,4,2,1,2,
5,5,2,4,4,4,5,2,2,2,2,5,1,2,4,8207,5512,4739,4830,10480,7674,11553,4048,4071,13674,8432,14777,10709,14704,6832,47,132,140,2,5,4,1,7,1,6,6,7,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,17,1,4,1,4,2,1,4,
3,0,1,2,3,1,2,2,4,2,4,2,1,3,4,5217,0,9470,4938,6317,3580,3844,2760,4855,6340,3868,6388,12087,6216,2660,2,81,117,7,5,5,7,6,1,7,4,2,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,3,2,1,41,1,2,1,4,1,2,4,Psychotherapy
5,1,1,3,4,3,1,1,1,3,1,1,1,2,5,6682,7637,7586,7663,11186,10056,7375,3618,4105,18467,6154,7818,5354,6066,4927,1,118,120,7,2,5,2,7,1,7,3,6,4,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2,3,2,1,19,1,10,1,2,1,1,3,chemistry
5,4,0,3,1,5,2,1,1,1,5,5,1,1,5,5179,11731,0,13793,4856,8984,8976,7984,4482,11904,12588,6677,7997,8619,3670,3,120,172,5,5,7,2,5,3,5,5,5,2,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,3,3,1,1,19,1,1,1,2,2,1,2,Economics
4,3,3,4,5,4,3,3,2,4,4,4,2,5,5,5129,10890,5965,6838,5551,6820,5620,2922,5813,7148,9152,4624,17355,6956,6076,1230,108,82,7,6,5,2,7,1,5,5,6,2,1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,2,1,1,1,21,1,2,1,4,2,1,2,Tourism
3,3,5,2,4,5,3,5,2,4,3,4,4,5,4,9611,7747,5045,7867,6146,5986,4938,3608,5497,8498,5311,6567,6324,6069,4753,1,96,185,2,5,2,1,3,3,4,7,2,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,1,1,18,1,12,2,4,2,1,3,
2,1,1,2,2,1,1,1,1,4,2,2,1,2,3,7481,5223,3408,3704,5375,3304,5367,2584,1832,149548,3080,5752,4495,3656,6176,1370,213,80,1,2,7,6,5,7,5,2,3,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,1,2,1,29,1,4,1,4,2,1,3,Asian Studies
3,5,1,3,2,4,4,1,1,1,4,4,1,1,3,8110,8108,5032,8760,6878,11840,10038,3074,6252,5892,8597,9752,2757,7202,8201,2,112,137,4,1,7,4,7,5,5,1,5,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,2,3,2,1,51,1,2,4,4,2,3,1,
4,1,1,1,2,2,1,1,1,3,3,1,1,2,3,5531,3497,2576,2504,4671,4922,2524,1676,3813,3025,4736,2775,2774,2732,4604,294,53,63,1,2,3,4,5,6,5,5,2,4,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,3,1,1,28,1,2,1,4,2,1,3,Geographic Information Systems
1,1,3,2,3,2,1,3,1,3,1,1,1,2,4,660860,9023,10963,4295,6400,5832,3609,9175,7706,8556,7454,3842,3678,4544,8622,31,758,124,5,2,4,2,5,3,5,5,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,19,1,6,1,1,2,1,2,Design
4,4,3,2,4,3,1,1,2,3,4,4,1,4,5,8215,5072,3791,10383,6233,8599,7640,1904,5272,10623,16279,11152,4111,8112,9408,121,119,336,2,5,3,6,3,6,3,6,4,5,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,1,2,25,1,7,1,4,1,1,1,law
3,4,5,4,1,3,1,5,5,1,1,1,2,4,5,6661,10996,7126,4046,12080,12017,7235,2580,2729,17786,4456,6438,9138,8907,5299,3,118,92,1,7,6,7,7,7,1,1,5,2,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,3,2,2,18,1,2,4,4,2,1,2,
3,4,3,2,4,5,2,3,1,4,2,3,3,2,5,7782,155880,7558,6783,52822,6272,6528,3760,7537,43610,8531,11217,5045,6722,6825,277,338,229,5,6,5,6,5,7,5,5,3,4,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,2,3,1,2,26,1,2,1,5,2,1,2,
4,4,1,1,2,4,2,1,1,1,3,2,2,2,5,48400,7100,1300,3300,15700,5900,10800,2900,4900,10400,11900,6900,7200,8500,6100,38,155,244,1,6,2,1,7,6,6,6,4,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,3,2,1,1,39,1,1,1,5,2,1,2,English & Political Science
2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,23859,12764,1550,2455,2292,8771,2457,1728,1112,3042,40248,7605,2457,5156,31992,3,149,100,2,6,1,5,6,4,5,7,4,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,19,1,12,0,4,2,1,0,
5,5,4,4,4,5,4,4,3,4,5,4,4,5,5,20641,16526,24714,8071,6969,16432,6928,4503,9022,11074,7137,12209,7367,11441,6341,23,171,178,4,4,5,3,5,5,4,2,5,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,21,1,2,1,4,2,1,2,
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5298,6713,3128,5022,8585,4399,4946,3992,8330,6814,5188,9391,5761,6280,9514,135,95,266,2,2,3,5,5,6,3,3,3,4,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,3,1,1,35,1,7,1,4,2,2,3,
5,1,1,3,2,1,4,1,1,2,2,1,1,4,5,8736,27540,44187,11596,39716,7478,19834,2632,4033,6730,7847,8530,7860,7677,6760,502,218,138,1,7,4,7,6,7,6,1,2,3,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,3,1,2,2,24,2,0,0,0,2,1,2,
1,1,1,1,1,4,1,1,1,2,3,1,1,2,5,16949,31229,44886,17612,16765,20281,8978,18165,25590,57643,21347,16196,18690,15575,37268,1063,379,318,1,6,6,6,2,7,6,1,6,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,1,1,1,28,1,2,1,4,2,1,4,Computer Science
3,4,5,3,3,4,2,5,2,5,2,3,4,4,5,10538,14915,4100,6183,5233,7634,4333,3468,4317,5581,5034,6884,6717,5350,4282,4,95,195,1,7,5,6,6,7,3,4,3,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,28,1,1,1,4,2,1,2,Veterinary medicine 
4,2,1,1,1,1,4,1,1,1,1,1,1,1,5,13161,13599,6696,7440,3106,6826,9686,2363,4957,10388,11542,9949,1798,4243,5138,7,114,153,2,5,2,5,4,7,2,5,4,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4,2,1,1,23,2,2,1,4,2,1,2,IT
3,2,2,4,5,3,4,2,4,4,3,2,2,4,5,4676,5003,3104,1400,7278,1145,2991,3824,3936,2798,3665,4000,2520,4654,3015,253,56,62,5,3,5,5,7,6,6,3,3,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,2,3,2,1,16,1,1,1,4,2,1,2,
5,5,3,5,4,5,4,4,5,4,5,5,3,5,4,6681,9563,4542,4252,5533,12429,7464,5192,3968,6529,3194,35600,6811,4802,20081,11,150,152,5,6,3,7,5,6,7,7,2,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,2,1,24,1,1,1,5,2,1,1,Computer science
5,3,2,3,4,4,2,4,2,5,5,2,4,4,5,5616,10057,5552,8537,6711,7121,4871,4684,5591,4513,6215,4039,6918,4586,5857,5,92,147,2,4,6,3,5,6,4,4,6,3,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,1,1,1,30,1,1,1,4,2,2,2,Mech Engineering
4,3,5,1,2,5,4,5,1,2,4,2,3,2,5,10183,10502,3192,7184,3968,3248,4992,3384,6744,6048,14681,6840,5568,4000,5560,218,97,130,4,3,6,2,7,3,5,2,6,2,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,2,2,2,1,16,3,2,5,4,2,1,3,
2,2,1,2,1,3,3,1,4,2,3,1,1,2,3,8437,8880,2952,3939,4206,6423,3276,1381,2603,5494,299898,3201,1043,6959,5086,2,365,120,4,7,4,7,7,7,7,5,3,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,3,3,1,17,3,2,3,5,1,1,2,
4,1,1,3,1,3,1,1,2,5,4,2,1,3,5,7265,12567,9683,7351,8335,7881,8954,4850,10295,10317,7566,22252,4966,6301,4333,7,137,164,2,5,5,5,6,6,5,1,2,3,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,3,2,1,1,24,1,1,2,0,1,2,1,Physics
1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,9702,4606,2558,1644,14630,3870,3632,2696,7315,5700,3519,4781,2301,2245,10247,12,81,105,2,7,6,2,6,7,5,2,6,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,20,1,2,2,4,2,1,2,Computer Science
1,3,1,1,3,1,1,1,1,1,3,1,1,1,1,15147,8647,7142,685,16307,2179,4446,1946,3265,3555,6059,3685,8189,9040,3407,3,94,113,1,2,7,1,6,5,7,1,6,3,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,3,2,2,1,53,1,6,1,4,1,3,5,psychology
3,4,3,4,5,3,4,1,4,5,3,4,1,4,5,14281,17467,9231,7004,9134,11215,6827,6975,6130,6842,10848,47067,7024,22668,3076,6,187,239,2,6,2,5,3,3,5,3,4,4,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,4,3,2,2,29,1,4,1,4,2,1,2,education
5,4,3,4,5,5,4,5,1,5,4,4,1,4,5,10737,17125,11600,10734,7765,15945,11598,4659,27618,6348,11694,11621,27706,10325,6341,9,193,509,6,7,7,5,6,5,3,2,5,5,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,13,1,10,0,2,2,1,6,psychology
5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,24094,7554,9636,8315,7040,7984,8252,5624,5578,11433,3258,7492,0,15208,5211,319,130,17,4,2,1,5,2,6,4,7,5,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,3,3,2,1,55,2,12,1,4,2,1,2,accounting
5,3,4,3,4,5,3,1,1,1,4,1,3,3,5,7800,9751,6576,7888,6231,6040,7544,4776,5536,6713,6399,12771,9269,6568,6184,13,111,179,5,2,7,5,7,7,7,1,7,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,4,1,2,1,55,1,7,1,4,2,3,12,Accounting/Computers
4,2,4,1,4,3,2,1,1,2,3,2,2,2,4,13097,10783,8225,32130,3599,29588,10277,5219,6462,7573,11425,11884,14384,19793,35727,72,221,202,3,6,6,3,5,6,2,1,6,5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,3,2,2,16,1,4,2,4,2,1,4,
3,5,3,5,3,3,5,4,3,4,3,5,2,4,5,7002,5597,4891,12055,4967,6529,7517,4835,7466,11780,1346,7120,10844,13617,10212,3,117,187,4,5,6,4,6,5,6,6,5,5,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,3,2,1,2,21,1,1,1,4,1,1,2,Electrical engineering
3,2,2,1,4,2,2,3,2,2,3,2,2,3,3,6110,5505,5046,2911,2638,5004,3727,5035,3463,6123,7842,8999,5748,3664,5130,3,78,136,4,2,5,4,6,5,4,5,4,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,2,3,1,15,3,12,5,4,2,1,2,
