inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc,lwage,expersq
1,4210,0,0,46,12,2.3752999,4.6300001,1040,49,16,6.9231,20320,.69150001,3,3,11,1,17,10.319987,.86512369,289
1,2205,0,1,46,10,4.5351,4.5500002,2200,52,12,5,21384,.66149998,10,3,11,0,28,11.384105,1.5118471,784
1,1952,0,0,51,14,5.6183,5.5999999,1952,58,12,7.3063998,25561,.62150002,7,7,14,0,24,14.594078,1.7260292,576
1,1302,0,0,30,17,14.631,9.5299997,1560,30,17,11.218,36550,.57999998,14,17,5,1,11,17.500439,2.6831424,121
1,112,1,2,30,12,2.6786001,0,4030,33,16,3.8462,15810,.72149998,12,12,3,0,1,15.509996,.98529428,1
1,893,0,0,57,12,3.9194,3.5,2570,58,12,5.8365998,25500,.62150002,9,9,7.5,1,14,21.999975,1.3659385,196
1,583,1,2,31,16,2.5729001,9.9799995,1530,34,16,13.725,24000,.66149998,14,16,9.5,1,6,22.5,.94503367,36
1,480,0,2,48,12,4.5374999,4.6500001,3149,48,8,6.3492999,22172,.66149998,3,3,5,0,10,19.993999,1.5123762,100
1,1900,0,3,30,12,2,2.23,2690,32,12,5.2528,17930,.72149998,12,7,5,0,6,14.13,.69314718,36
1,576,0,2,34,12,3.4721999,3.8399999,3096,33,12,1.3075,7000,.78149998,12,7,3,0,4,5.0000129,1.2447884,16
1,2056,0,2,48,16,2.0160999,0,2552,53,16,2.7997999,25300,.72149998,14,16,5,1,10,21.154898,.7011649,100
1,1984,0,0,45,12,4.5716,4.8200002,2040,47,11,2.6961,16212,.72149998,10,10,11,0,22,7.1419458,1.5198632,484
1,2640,0,0,51,12,2.2727001,0,2180,50,13,7.5688,22650,.66149998,7,7,3,0,16,16.650072,.82096857,256
1,240,0,2,30,12,2.6375,0,1864,37,12,3.4077001,6985,.78149998,12,7,14,0,6,6.3519998,.96983153,36
1,1173,0,1,46,12,2.2899001,2.5,2068,46,12,6.5401001,30000,.69150001,7,7,11,1,12,27.313948,.8285082,144
1,3640,0,0,58,12,1.0989,0,2010,58,12,7.2139001,18500,.69150001,7,3,9.5,1,32,14.500004,.094309643,1024
1,340,0,8,37,12,1.1765,0,2152,40,10,6.2732,16658,.75150001,12,7,5,0,15,16.25799,.16254389,225
1,500,0,0,52,8,1.6,0,1496,54,11,5.8824,10300,.75150001,7,7,5,1,17,9.5,.47000363,289
1,1599,0,0,52,10,1.8762,2.8,2100,47,4,3.8095,11000,.75150001,7,3,7.5,0,34,7.9999561,.62924844,1156
1,1830,0,0,31,16,4.0437002,4.1999998,1960,35,14,6.3776002,19900,.69150001,12,12,7.5,1,9,12.500029,1.3971602,81
1,1920,0,0,55,14,9.6353998,8.75,1985,55,15,6.0453,32500,.63999999,7,7,14,1,37,14.000032,2.2654438,1369
1,2052,0,0,34,17,8.0409002,8.25,2020,33,17,8.8119001,37300,.57999998,17,17,7.5,1,10,20.800074,2.0845411,100
1,2312,0,0,55,14,4.599,5.5799999,2178,56,16,8.8765001,30018,.58149999,17,7,11,1,35,19.385113,1.5258389,1225
1,196,0,2,39,12,2.1429,2.5,3684,39,12,3.342,12807,.75150001,12,7,14,1,6,12.386992,.76216006,36
1,2500,0,3,40,14,4.4000001,5.5,5010,42,13,3.1835999,39500,.55150002,14,3,7.5,0,19,28.5,1.4816046,361
1,1980,0,4,43,12,3.5353999,3.75,1880,47,12,6.9148998,22050,.69150001,12,12,9.5,1,10,15.049909,1.2628264,100
1,1840,0,0,48,8,2.7174001,4.8000002,1904,56,8,5.5146999,15500,.72149998,7,7,14,1,11,10.499984,.99967557,121
1,320,0,0,47,12,6.25,6.25,2083,47,12,5.2807999,13810,.72149998,7,7,9.5,1,15,11.81,1.8325815,225
1,419,0,4,41,12,11.933,6.3000002,2125,44,12,3.2,11950,.75150001,7,7,5,1,12,6.9500732,2.4793077,144
1,1880,0,0,36,8,3.5931001,3.75,1985,37,12,5.8790998,19175,.69150001,12,12,7.5,0,12,12.419971,1.2790153,144
1,72,0,2,46,17,6.9443998,0,2640,48,17,6.25,17900,.69150001,12,16,7.5,0,14,17.400003,1.9379356,196
1,120,0,0,34,12,2.9166999,0,2070,51,8,7.4878998,15850,.72149998,12,7,5,1,11,15.499996,1.0704528,121
1,1885,0,3,41,12,3.0769,2.9000001,2107,48,8,6.9766998,27017,.69150001,7,7,5,1,9,21.217043,1.1239226,81
1,240,0,1,51,12,3.75,0,2250,54,10,8,18900,.69150001,12,7,5,0,24,18,1.3217559,576
1,1729,0,0,33,12,5.7259002,4.7600002,2880,34,16,4.1318998,21800,.69150001,12,12,7.5,1,12,11.899919,1.7449998,144
1,1850,0,0,52,12,3.6756999,3.4000001,1848,53,12,14.476,33552,.55150002,10,10,7.5,1,13,26.751955,1.3017436,169
1,2033,0,0,58,9,5.1648002,4.3200002,1927,53,7,5.7343001,22650,.66149998,7,9,7.5,1,29,12.149961,1.6418664,841
1,608,2,4,34,10,8.2236996,3,1304,38,9,3.3742001,15200,.79149997,0,0,7.5,1,11,10.19999,2.1070201,121
1,1153,0,1,31,12,4.3365002,4.52,3000,35,12,1.8333,13120,.72149998,7,10,7.5,1,13,8.1200151,1.4670676,169
1,2208,0,1,48,12,4.9819002,5.3099999,1892,52,12,5.6025,21660,.66149998,12,14,5,1,19,10.659965,1.6058114,361
1,252,0,2,32,12,.35710001,0,3644,32,12,4.2975001,18190,.72149998,7,7,3,0,2,18.10001,-1.0297394,4
1,337,0,0,49,17,2.9674001,0,1430,47,17,3.9161,9600,.75150001,3,3,14,1,24,8.5999861,1.0876862,576
1,90,2,2,32,15,1,0,2350,31,14,4.8786998,13755,.75150001,10,12,7.5,1,9,13.665,0,81
1,1174,0,0,58,12,2.5553999,4.8699999,1948,59,16,9.2402,35350,.66149998,7,12,7.5,1,6,32.34996,.9382087,36
1,372,0,0,50,6,.86019999,2.25,1804,42,12,6.6518998,12405,.72149998,12,7,7.5,1,22,12.085006,-.15059038,484
1,30,0,0,60,14,1,0,2326,51,12,4.6216998,12180,.75150001,12,17,9.5,0,30,12.15,0,900
1,1800,0,1,50,12,2.9261,0,1739,55,11,9.9741001,22962,.66149998,7,3,7.5,1,10,17.695021,1.0736705,100
1,282,0,0,56,14,3.5460999,2.5,1176,57,17,20.917999,25700,.62150002,7,7,9.5,1,6,24.700001,1.2658484,36
1,720,0,0,51,9,1.6264,2.2,1100,55,8,1.9400001,3305,.79149997,7,7,3,0,29,2.133992,.48636898,841
1,1440,0,1,54,17,8.3332996,6,1528,58,17,8.8351002,32950,.58149999,7,12,5,1,29,20.950048,2.1202595,841
1,2100,0,0,59,13,3.0952001,2.95,2250,52,15,4.6666999,17000,.69150001,7,7,5,1,36,10.50008,1.1298525,1296
1,1000,0,2,46,9,2.7,2.3499999,1927,47,10,5.1894002,13250,.75150001,7,7,5,1,19,10.55,.9932518,361
1,952,0,1,46,15,5.2521,0,2414,47,16,18.724001,50750,.44150001,7,12,5,1,8,45.75,1.658628,64
1,1413,1,3,39,12,1.4154,2.2,768,49,8,10.417,15632,.77149999,10,10,14,0,13,13.63204,.3474122,169
1,2100,0,2,44,12,4.7986002,4.8499999,1984,43,14,8.8458004,28316,.62150002,7,0,11,1,16,18.238939,1.5683242,256
1,120,2,0,33,12,1.6667,2.3699999,2246,36,12,7.5689998,17290,.72149998,12,12,9.5,1,11,17.089996,.5108456,121
1,3000,1,2,33,12,1.1217,0,3024,30,17,4.4506998,33600,.62150002,10,10,7.5,1,15,30.2349,.11484543,225
1,1000,0,2,48,12,.5,0,2921,52,12,9.3204002,29200,.62150002,12,7,9,1,6,28.700001,-.69314718,36
1,336,0,4,31,12,.71429998,0,2045,37,17,9.1687002,19870,.69150001,7,7,11,0,13,19.629995,-.33645228,169
1,1216,0,1,45,12,2.7960999,2.9000001,1928,44,12,6.4833999,16225,.72149998,7,7,11,0,22,12.824943,1.0282255,484
1,988,0,1,45,12,4.8583002,4.5,1920,44,10,7.8125,28600,.69150001,7,3,5,1,24,23.799999,1.5806886,576
1,2581,0,2,32,13,1.7435,2.5999999,2280,37,17,11.404,30800,.58149999,14,12,7.5,1,2,26.300026,.55589461,4
1,2030,0,0,47,12,2.4631,2.8,2300,47,17,5.0869999,25700,.69150001,7,7,3,0,6,20.699907,.90142071,36
1,413,0,2,34,13,2.4212999,3,2480,35,13,6.9758,27000,.62150002,12,12,3,0,2,26.000004,.88430458,4
1,782,0,1,37,12,1.5345,2.3,1135,34,10,5.2863002,12077,.77149999,12,7,9.5,1,2,10.877021,.4282046,4
1,1388,0,1,36,12,2.8817999,1.87,1384,39,12,11.562,29612,.66149998,7,7,11,0,14,25.612062,1.0584151,196
1,1450,1,2,47,12,2.4068999,3,1848,50,14,8.6061001,24479,.69150001,7,10,9.5,1,9,20.988995,.87833959,81
1,1720,0,1,48,16,5.2326002,4.6799998,2499,46,17,12.805,79750,.44150001,14,14,7.5,1,11,70.749931,1.6549083,121
1,800,0,2,42,12,3.75,2.5,2390,43,12,6.6946001,20050,.69150001,12,7,11,0,9,17.049999,1.3217559,81
1,360,0,3,33,13,1.3889,0,2400,44,14,8.3332996,21500,.69150001,10,12,11,1,6,20.999996,.3285121,36
1,2000,0,0,46,11,4,4.6100001,1920,53,8,4.1666999,16120,.69150001,7,7,5,0,19,8.1199999,1.3862944,361
1,1176,0,3,47,12,3.2313001,3.3499999,2301,48,13,5.4759002,24686,.72149998,7,7,9.5,0,26,20.88599,1.1728846,676
1,2058,0,1,44,12,3.4014001,3.8,1944,43,10,5.1440001,24669,.69150001,7,10,9.5,1,19,17.668919,1.2241871,361
1,900,0,4,36,12,1.3333,2.2,2100,37,17,11.667,26400,.66149998,7,7,7.5,1,3,25.200029,.28765708,9
1,215,2,0,31,17,9.3023005,9.9799995,1920,32,16,7.2916999,16245,.72149998,12,12,7.5,1,7,14.245006,2.2302618,49
1,2000,0,0,55,14,4.5,4.3699999,2880,55,14,4.8611002,23300,.66149998,7,7,9.5,1,28,14.3,1.5040774,784
1,757,0,1,45,16,4.6234999,4.5,1932,48,16,12.164,27200,.62150002,12,7,9.5,1,13,23.70001,1.531152,169
1,1264,0,0,47,17,3.9556999,0,3234,48,17,10.823,51000,.46149999,10,17,9.5,1,9,45.999996,1.3751576,81
1,2064,0,3,46,12,5.8140001,6,2805,47,12,12.478,55000,.46149999,10,7,14,1,15,42.999905,1.7602688,225
1,1280,0,0,49,11,.5,0,2272,52,9,6.1620002,15389,.72149998,7,7,7.5,1,20,14.749,-.69314718,400
1,1715,0,0,49,12,4.0816002,3.75,2227,52,14,7.1845999,23150,.66149998,7,7,9.5,1,29,16.150055,1.4064891,841
1,2000,0,2,45,12,6,4.9499998,1720,49,6,7.0929999,29774,.62150002,7,10,14,1,9,17.774,1.7917595,81
1,12,1,3,38,17,3.6666999,0,2300,38,13,17.826,91044,.44150001,12,10,14,1,1,91,1.2992921,1
1,1528,0,0,47,10,3.8613,2.95,3410,50,12,6.3930001,28200,.58149999,7,12,14,1,8,22.299934,1.3510039,64
1,561,0,3,54,13,2.7629001,2.53,2304,57,16,11.719,36150,.55150002,7,7,9.5,1,19,34.600014,1.0162809,361
1,2058,0,0,41,11,2.931,2.9000001,1984,42,12,4.7883,15652,.72149998,12,12,7.5,0,23,9.6200018,1.0753436,529
1,1823,0,2,43,12,4.3884001,4.1999998,1890,33,14,4.2328,18900,.75150001,14,7,11,0,3,10.899946,1.4789647,9
1,1680,1,1,31,16,5.4166999,4.6999998,1970,32,12,7.1065998,23600,.66149998,12,10,7.5,0,13,14.499944,1.6894867,169
1,1440,0,0,47,17,9.8611002,7.0999999,2400,46,12,8.3332996,36200,.61000001,7,7,7.5,1,8,22.000015,2.2885978,64
1,4950,0,2,35,12,.16159999,2.75,2504,37,12,6.9888,18700,.69150001,10,10,7.5,0,17,17.90008,-1.8226311,289
1,1176,0,3,45,16,.38260001,3.75,2398,48,17,9.5913,24125,.66149998,7,7,11,1,4,23.675062,-.96076518,16
1,1100,1,0,33,12,3.6364,3.5799999,1960,39,12,6.0204,15800,.72149998,7,7,7.5,0,15,11.79996,1.2909942,225
1,1516,0,1,54,16,2.3747001,2.4000001,2550,55,12,2.9686,19742,.72149998,12,7,3,0,11,16.141954,.86487114,121
1,900,0,4,35,8,4.6666999,3.95,2500,41,12,7,22600,.69150001,10,7,9.5,0,7,18.399971,1.5404521,49
1,1080,1,2,31,12,1.8519,2.25,2164,37,10,7.1627002,17500,.72149998,7,7,7.5,0,0,15.499948,.61621213,0
1,480,0,0,55,12,5.1999998,0,2640,60,12,4.7364001,19820,.69150001,7,7,7.5,0,0,17.323999,1.6486586,0
1,288,0,2,34,12,3.2986,4.6199999,1936,36,12,8.7810001,20155,.69150001,12,16,11,1,10,19.205004,1.1934981,100
1,1875,0,1,38,13,8.5333004,8.5,2136,41,12,9.8315001,37300,.57999998,10,12,7.5,1,8,21.300062,2.1439762,64
1,630,0,1,45,11,2.0634999,0,1955,51,10,6.6496,24860,.72149998,7,7,7.5,1,2,23.559996,.72440356,4
1,234,0,1,47,12,2.5641,2.5,1980,48,10,9.8485003,21450,.66149998,12,3,7.5,1,4,20.85,.94160753,16
1,1600,0,2,39,12,2.1875,0,2550,42,11,9.8038998,29650,.62150002,7,7,5,1,6,26.15,.78275937,36
1,960,1,0,36,14,6.25,0,2058,37,13,8.2603998,23000,.66149998,7,7,11,1,18,17,1.8325815,324
1,120,1,2,33,12,3.3333001,0,2263,32,14,9.0676003,21120,.69150001,7,7,9,1,3,20.720003,1.2039628,9
1,2025,0,0,50,12,4.4443998,4.8000002,1763,54,13,8.5081997,26000,.62150002,7,12,5,1,22,17.00009,1.4916449,484
1,1809,0,0,58,12,6.6335001,6.4499998,2096,59,14,7.1564999,28000,.62150002,3,7,7.5,1,33,15.999998,1.8921326,1089
1,3087,0,0,49,17,8.4224005,9.9799995,2059,47,13,7.0423002,45500,.51999998,12,12,11,1,28,19.50005,2.1308949,784
1,910,0,2,41,14,4.3955998,0,1820,40,17,6.5934,16000,.72149998,16,12,14,1,23,12.000004,1.4806041,529
1,1840,0,1,51,12,2.4456999,2.5,2832,53,8,4.3456998,18232,.69150001,7,14,11,0,27,13.731912,.89433134,729
1,784,0,0,53,9,1.2244999,2.25,1990,60,10,7.2361999,28160,.72149998,3,7,14,1,11,27.199991,.20253254,121
1,400,1,2,36,12,1.625,0,2000,40,7,1.74,5965,.80150002,12,7,11,1,6,5.3150001,.48550782,36
1,1000,0,2,46,12,3,5.5,1885,46,12,6.8965998,19000,.72149998,7,7,9.5,1,11,16,1.0986123,121
1,1904,0,2,36,12,4.7269001,4.1999998,2860,37,12,5.0454998,36872,.55150002,12,12,11,1,14,27.871983,1.5532696,196
1,1771,0,1,53,14,1.1293,9.9799995,1913,48,16,17.25,42000,.49149999,12,12,14,1,17,40.000011,.12159797,289
1,1486,0,3,40,16,7.4024,6.25,1800,54,16,8.3332996,26900,.62150002,16,14,11,1,17,15.900034,2.0018044,289
1,740,0,2,42,17,4.4594998,1.65,2880,45,16,9.375,30800,.58149999,12,10,9,0,14,27.499969,1.4950366,196
1,1820,1,1,33,15,2.4725001,0,1993,32,16,8.2790003,21520,.69150001,12,12,11,1,11,17.02005,.90522981,121
1,1275,0,3,43,12,1.8824,3,2250,47,14,4.5,24795,.69150001,7,7,7.5,1,7,22.394939,.63254756,49
1,450,1,0,31,16,4,4,2286,30,16,4.1995001,12900,.72149998,14,16,14,1,8,11.1,1.3862944,64
1,1221,0,0,47,17,8.1899996,5.9899998,1880,47,16,16.063999,42700,.49149999,7,7,7.5,1,6,32.700012,2.1029139,36
1,1550,0,0,54,17,7.0967999,6,2350,58,17,11.277,38800,.52149999,10,17,11,1,8,27.799961,1.959644,64
1,180,1,3,33,12,1.6667,0,3640,33,11,.54939997,2500,.94150001,7,3,3,0,4,2.1999941,.5108456,16
1,2090,0,0,43,16,3.4449999,3.8499999,1770,47,14,9.5480003,26921,.62150002,14,10,11,1,25,19.720951,1.2369239,625
1,1960,0,1,46,13,4.2347002,4.1999998,1875,49,13,5.3333001,18300,.69150001,7,9,3,0,24,9.9999876,1.4433125,576
1,1440,0,3,35,12,2.7778001,4.0999999,2200,38,9,5.4545002,17200,.72149998,7,7,14,1,11,13.199968,1.0216593,121
1,794,0,3,37,11,1.8892,3.8499999,2033,39,12,5.9025998,14209,.75150001,12,3,9.5,1,19,12.708975,.63615346,361
1,993,0,2,37,16,5.0352001,8.3000002,2739,39,17,9.8576002,32300,.58149999,12,16,14,1,9,27.300047,1.6164533,81
1,160,0,3,34,14,1.25,0,1626,38,14,11.685,21400,.72149998,17,12,7.5,1,19,21.200001,.22314355,361
1,105,1,0,43,16,2.8571,0,2248,44,17,6.2277999,14700,.72149998,7,7,9.5,0,14,14.400004,1.0498071,196
1,1200,0,0,46,12,4.1167002,4.3299999,2140,48,12,9.1747999,25516,.62150002,7,7,9.5,1,22,20.57596,1.4150519,484
1,450,0,3,35,9,1.7778,2.5999999,1985,42,12,6.2972002,13300,.75150001,3,7,5,1,6,12.49999,.57537663,36
1,996,0,0,46,17,13.554,9.9799995,1528,59,17,10.471,31000,.58149999,12,12,9.5,1,23,17.500216,2.6066816,529
1,1052,0,0,46,14,4.5626998,4.9000001,1920,48,16,14.583,48800,.49149999,7,3,11,1,15,44.000038,1.5179145,225
1,1128,0,2,43,12,2.1277001,2.4000001,1918,46,10,6.2143002,15519,.72149998,7,7,14,1,6,13.118955,.7550416,36
1,1840,0,0,30,12,2.9891,3.75,2112,30,12,6.6287999,19500,.69150001,7,7,7.5,0,11,14.000056,1.0949724,121
1,1910,0,2,41,11,2.5653999,2.5699999,2144,46,9,3.8246,14545,.72149998,3,7,5,0,2,9.6450863,.94211435,4
1,980,0,1,54,12,5.6121998,5,1920,54,15,7.8125,22897,.69150001,7,7,14,1,22,17.397045,1.7249428,484
1,2317,0,1,31,12,2.8053999,3.8699999,2241,41,9,3.4806001,14300,.72149998,10,10,7.5,1,10,7.7998886,1.0315461,100
1,1089,0,0,44,10,1.607,0,880,47,11,5.5500002,14884,.75150001,10,10,9.5,1,14,13.133977,.47436908,196
1,800,0,1,32,12,2.25,0,2070,31,16,11.594,27400,.62150002,12,7,11,1,12,25.6,.81093019,144
1,1230,0,0,47,5,2.0325,2.8199999,1050,53,5,9.5237999,16400,.72149998,7,12,14,1,9,13.900025,.7092666,81
1,1158,0,1,46,17,5.5320001,8.1000004,2635,57,17,7.2804999,25704,.62150002,14,17,7.5,0,13,19.297943,1.7105495,169
1,2272,0,0,37,11,1.5845,3.71,3000,47,8,3,12800,.72149998,10,10,7.5,0,18,9.200016,.46026888,324
1,528,0,2,51,12,3.7879,0,2500,50,11,10.4,40000,.62150002,7,7,7.5,0,8,37.999989,1.3318118,64
1,1000,0,1,49,12,3,0,1990,49,12,10.05,47000,.66149998,7,7,14,1,11,44,1.0986123,121
1,520,0,4,36,14,8.6538,0,2390,37,13,8.7866001,25872,.66149998,10,12,9.5,1,9,21.372025,2.1579986,81
1,760,0,1,39,11,4.2104998,3.95,1430,44,12,10.14,26868,.69150001,12,7,9.5,1,9,23.66802,1.4375813,81
1,1920,0,2,48,12,4.6875,4.3000002,1800,50,8,5,18000,.69150001,12,12,9.5,1,14,9,1.5448993,196
1,1220,0,2,38,14,4.0984001,4.8400002,2103,43,17,11.888,30200,.58149999,7,7,5,1,9,25.199951,1.4105967,81
1,200,0,2,40,12,25,3,1350,42,12,13.333,26220,.66149998,7,7,7.5,1,2,21.219999,3.2188759,4
1,2480,1,5,39,10,2.6331,4.1999998,2880,36,17,8.6806002,40500,.58149999,7,7,3,0,12,33.969913,.96816188,144
1,2750,0,0,37,16,6,9,2400,43,17,7.2916999,33570,.61000001,12,7,7.5,1,15,17.07,1.7917595,225
1,2014,0,1,49,13,5.4126,4.0500002,1135,47,12,3.5242,16917,.72149998,7,14,14,1,11,6.0160236,1.6887295,121
1,1355,0,3,33,12,.66420001,1,2750,35,17,6.1817999,18000,.72149998,12,7,9.5,0,7,17.10001,-.40917197,49
1,80,0,0,30,12,1.25,0,2085,32,16,2.9755001,8337,.75150001,12,12,11,1,9,8.2370005,.22314355,81
1,1670,0,0,54,12,2.2753999,2.0999999,2600,56,8,4.5769,17100,.72149998,12,7,9.5,0,19,13.300082,.82215583,361
1,520,0,4,39,11,3.4614999,3.05,3542,40,12,3.1056001,17800,.75150001,10,7,11,0,11,16.000021,1.241702,121
1,288,0,3,43,12,4.1666999,3,1975,43,12,5.8228002,13740,.75150001,12,12,14,1,8,12.53999,1.4271244,64
1,2014,0,3,31,9,4.4686999,4.2600002,2400,32,12,7.5,27000,.62150002,10,3,9.5,1,13,18.000038,1.4970975,169
1,800,0,3,33,13,1.75,0,3000,37,14,8.3332996,32600,.62150002,12,7,7.5,1,4,31.200001,.55961579,16
1,1984,0,3,40,12,3.6694,4.25,1960,39,14,9.2347002,28030,.66149998,12,12,14,1,7,20.74991,1.3000282,49
1,1823,0,1,36,12,6.5826001,6,2000,39,9,5.5,23100,.66149998,12,12,3,0,19,11.09992,1.8844298,361
1,1500,0,0,51,12,2.5999999,2,3000,51,12,6,24580,.66149998,7,7,9.5,1,14,20.68,.95551139,196
1,2261,0,1,44,13,4.8650999,5.5,2400,43,12,6.6666999,29000,.62150002,12,7,9.5,1,14,18.00001,1.5820873,196
1,1728,0,3,42,16,5.7870002,6.25,2450,48,14,13.061,42430,.52149999,12,14,9.5,1,3,32.430065,1.755614,9
1,1960,0,1,40,12,4.5408001,5,2423,40,8,12.794,41800,.52149999,12,12,7.5,1,9,32.900032,1.5131032,81
1,1578,1,1,34,16,9.5057001,7.7199998,2000,33,16,12,39100,.57999998,12,17,9.5,1,7,24.100006,2.2518916,49
1,1316,0,0,30,17,10.638,7,2526,41,16,6.73,31800,.58149999,16,17,11,1,7,17.800392,2.3644323,49
1,1530,0,0,54,12,1.1111,1.13,2695,53,12,6.6789999,22200,.69150001,7,7,14,0,14,20.500017,.10535048,196
1,2220,0,0,51,12,4.0541,4.3699999,2048,54,12,4.3944998,19500,.69150001,16,7,3,0,29,10.499898,1.3997288,841
1,1336,0,2,44,9,2.6870999,2.6400001,1920,46,11,4.6875,14027,.75150001,7,10,11,0,19,10.437035,.98846251,361
1,1008,0,1,43,12,2.9762001,2.5,2338,42,9,7.6989002,21195,.66149998,7,7,11,1,14,18.19499,1.0906473,196
1,1944,0,1,34,12,3.1728001,3.23,2945,37,8,4.3287001,19013,.69150001,10,7,7.5,0,16,12.845077,1.1546144,256
1,2000,0,0,45,13,3.55,3.45,2047,52,12,6.7416,20900,.66149998,12,7,11,1,10,13.8,1.2669476,100
1,258,0,0,39,12,17.907,0,1668,47,7,9.3525,26820,.62150002,10,3,11,0,12,22.199995,2.8851917,144
