"Count","Month","Sex","Type"
53,2022-09-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
50,2022-10-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
54,2022-11-01,"Female","Abduction, Harassment and Other Related Offences Against a Person"
363,2014-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
352,2014-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
407,2014-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
373,2014-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
411,2014-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
399,2014-12-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
381,2015-01-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
380,2015-02-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
387,2015-03-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
326,2015-04-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
363,2015-05-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
351,2015-06-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
329,2015-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
355,2015-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
360,2015-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
390,2015-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
377,2015-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
374,2015-12-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
353,2016-01-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
356,2016-02-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
377,2016-03-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
324,2016-04-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
349,2016-05-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
428,2016-06-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
357,2016-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
340,2016-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
362,2016-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
353,2016-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
374,2016-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
358,2016-12-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
324,2017-01-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
291,2017-02-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
331,2017-03-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
251,2017-04-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
271,2017-05-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
303,2017-06-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
273,2017-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
316,2017-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
295,2017-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
296,2017-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
312,2017-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
308,2017-12-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
304,2018-01-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
280,2018-02-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
319,2018-03-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
262,2018-04-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
279,2018-05-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
279,2018-06-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
280,2018-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
300,2018-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
279,2018-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
313,2018-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
288,2018-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
296,2018-12-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
329,2019-01-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
269,2019-02-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
313,2019-03-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
267,2019-04-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
298,2019-05-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
275,2019-06-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
299,2019-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
309,2019-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
323,2019-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
292,2019-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
320,2019-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
340,2019-12-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
347,2020-01-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
315,2020-02-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
341,2020-03-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
325,2020-04-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
360,2020-05-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
349,2020-06-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
350,2020-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
337,2020-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
327,2020-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
303,2020-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
330,2020-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
292,2020-12-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
323,2021-01-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
266,2021-02-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
323,2021-03-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
275,2021-04-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
258,2021-05-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
255,2021-06-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
260,2021-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
257,2021-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
260,2021-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
239,2021-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
254,2021-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
243,2021-12-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
237,2022-01-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
232,2022-02-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
236,2022-03-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
224,2022-04-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
230,2022-05-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
212,2022-06-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
222,2022-07-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
232,2022-08-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
246,2022-09-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
253,2022-10-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
232,2022-11-01,"Male","Abduction, Harassment and Other Related Offences Against a Person"
448,2014-07-01,"Female","Acts Intended to Cause Injury"
421,2014-08-01,"Female","Acts Intended to Cause Injury"
415,2014-09-01,"Female","Acts Intended to Cause Injury"
455,2014-10-01,"Female","Acts Intended to Cause Injury"
431,2014-11-01,"Female","Acts Intended to Cause Injury"
446,2014-12-01,"Female","Acts Intended to Cause Injury"
489,2015-01-01,"Female","Acts Intended to Cause Injury"
426,2015-02-01,"Female","Acts Intended to Cause Injury"
466,2015-03-01,"Female","Acts Intended to Cause Injury"
397,2015-04-01,"Female","Acts Intended to Cause Injury"
420,2015-05-01,"Female","Acts Intended to Cause Injury"
446,2015-06-01,"Female","Acts Intended to Cause Injury"
392,2015-07-01,"Female","Acts Intended to Cause Injury"
383,2015-08-01,"Female","Acts Intended to Cause Injury"
410,2015-09-01,"Female","Acts Intended to Cause Injury"
400,2015-10-01,"Female","Acts Intended to Cause Injury"
426,2015-11-01,"Female","Acts Intended to Cause Injury"
448,2015-12-01,"Female","Acts Intended to Cause Injury"
445,2016-01-01,"Female","Acts Intended to Cause Injury"
422,2016-02-01,"Female","Acts Intended to Cause Injury"
416,2016-03-01,"Female","Acts Intended to Cause Injury"
394,2016-04-01,"Female","Acts Intended to Cause Injury"
455,2016-05-01,"Female","Acts Intended to Cause Injury"
529,2016-06-01,"Female","Acts Intended to Cause Injury"
479,2016-07-01,"Female","Acts Intended to Cause Injury"
434,2016-08-01,"Female","Acts Intended to Cause Injury"
450,2016-09-01,"Female","Acts Intended to Cause Injury"
406,2016-10-01,"Female","Acts Intended to Cause Injury"
463,2016-11-01,"Female","Acts Intended to Cause Injury"
454,2016-12-01,"Female","Acts Intended to Cause Injury"
420,2017-01-01,"Female","Acts Intended to Cause Injury"
368,2017-02-01,"Female","Acts Intended to Cause Injury"
409,2017-03-01,"Female","Acts Intended to Cause Injury"
321,2017-04-01,"Female","Acts Intended to Cause Injury"
333,2017-05-01,"Female","Acts Intended to Cause Injury"
366,2017-06-01,"Female","Acts Intended to Cause Injury"
406,2017-07-01,"Female","Acts Intended to Cause Injury"
378,2017-08-01,"Female","Acts Intended to Cause Injury"
369,2017-09-01,"Female","Acts Intended to Cause Injury"
379,2017-10-01,"Female","Acts Intended to Cause Injury"
382,2017-11-01,"Female","Acts Intended to Cause Injury"
444,2017-12-01,"Female","Acts Intended to Cause Injury"
372,2018-01-01,"Female","Acts Intended to Cause Injury"
355,2018-02-01,"Female","Acts Intended to Cause Injury"
390,2018-03-01,"Female","Acts Intended to Cause Injury"
339,2018-04-01,"Female","Acts Intended to Cause Injury"
358,2018-05-01,"Female","Acts Intended to Cause Injury"
377,2018-06-01,"Female","Acts Intended to Cause Injury"
324,2018-07-01,"Female","Acts Intended to Cause Injury"
329,2018-08-01,"Female","Acts Intended to Cause Injury"
366,2018-09-01,"Female","Acts Intended to Cause Injury"
373,2018-10-01,"Female","Acts Intended to Cause Injury"
358,2018-11-01,"Female","Acts Intended to Cause Injury"
378,2018-12-01,"Female","Acts Intended to Cause Injury"
407,2019-01-01,"Female","Acts Intended to Cause Injury"
337,2019-02-01,"Female","Acts Intended to Cause Injury"
376,2019-03-01,"Female","Acts Intended to Cause Injury"
310,2019-04-01,"Female","Acts Intended to Cause Injury"
357,2019-05-01,"Female","Acts Intended to Cause Injury"
330,2019-06-01,"Female","Acts Intended to Cause Injury"
344,2019-07-01,"Female","Acts Intended to Cause Injury"
331,2019-08-01,"Female","Acts Intended to Cause Injury"
326,2019-09-01,"Female","Acts Intended to Cause Injury"
367,2019-10-01,"Female","Acts Intended to Cause Injury"
329,2019-11-01,"Female","Acts Intended to Cause Injury"
378,2019-12-01,"Female","Acts Intended to Cause Injury"
371,2020-01-01,"Female","Acts Intended to Cause Injury"
325,2020-02-01,"Female","Acts Intended to Cause Injury"
378,2020-03-01,"Female","Acts Intended to Cause Injury"
349,2020-04-01,"Female","Acts Intended to Cause Injury"
342,2020-05-01,"Female","Acts Intended to Cause Injury"
304,2020-06-01,"Female","Acts Intended to Cause Injury"
331,2020-07-01,"Female","Acts Intended to Cause Injury"
293,2020-08-01,"Female","Acts Intended to Cause Injury"
313,2020-09-01,"Female","Acts Intended to Cause Injury"
335,2020-10-01,"Female","Acts Intended to Cause Injury"
346,2020-11-01,"Female","Acts Intended to Cause Injury"
340,2020-12-01,"Female","Acts Intended to Cause Injury"
347,2021-01-01,"Female","Acts Intended to Cause Injury"
289,2021-02-01,"Female","Acts Intended to Cause Injury"
326,2021-03-01,"Female","Acts Intended to Cause Injury"
282,2021-04-01,"Female","Acts Intended to Cause Injury"
315,2021-05-01,"Female","Acts Intended to Cause Injury"
298,2021-06-01,"Female","Acts Intended to Cause Injury"
265,2021-07-01,"Female","Acts Intended to Cause Injury"
276,2021-08-01,"Female","Acts Intended to Cause Injury"
235,2021-09-01,"Female","Acts Intended to Cause Injury"
222,2021-10-01,"Female","Acts Intended to Cause Injury"
287,2021-11-01,"Female","Acts Intended to Cause Injury"
251,2021-12-01,"Female","Acts Intended to Cause Injury"
248,2022-01-01,"Female","Acts Intended to Cause Injury"
250,2022-02-01,"Female","Acts Intended to Cause Injury"
262,2022-03-01,"Female","Acts Intended to Cause Injury"
210,2022-04-01,"Female","Acts Intended to Cause Injury"
259,2022-05-01,"Female","Acts Intended to Cause Injury"
261,2022-06-01,"Female","Acts Intended to Cause Injury"
232,2022-07-01,"Female","Acts Intended to Cause Injury"
279,2022-08-01,"Female","Acts Intended to Cause Injury"
272,2022-09-01,"Female","Acts Intended to Cause Injury"
275,2022-10-01,"Female","Acts Intended to Cause Injury"
299,2022-11-01,"Female","Acts Intended to Cause Injury"
946,2014-07-01,"Male","Acts Intended to Cause Injury"
999,2014-08-01,"Male","Acts Intended to Cause Injury"
986,2014-09-01,"Male","Acts Intended to Cause Injury"
980,2014-10-01,"Male","Acts Intended to Cause Injury"
992,2014-11-01,"Male","Acts Intended to Cause Injury"
976,2014-12-01,"Male","Acts Intended to Cause Injury"
1019,2015-01-01,"Male","Acts Intended to Cause Injury"
884,2015-02-01,"Male","Acts Intended to Cause Injury"
1001,2015-03-01,"Male","Acts Intended to Cause Injury"
890,2015-04-01,"Male","Acts Intended to Cause Injury"
928,2015-05-01,"Male","Acts Intended to Cause Injury"
956,2015-06-01,"Male","Acts Intended to Cause Injury"
871,2015-07-01,"Male","Acts Intended to Cause Injury"
922,2015-08-01,"Male","Acts Intended to Cause Injury"
895,2015-09-01,"Male","Acts Intended to Cause Injury"
950,2015-10-01,"Male","Acts Intended to Cause Injury"
951,2015-11-01,"Male","Acts Intended to Cause Injury"
986,2015-12-01,"Male","Acts Intended to Cause Injury"
926,2016-01-01,"Male","Acts Intended to Cause Injury"
931,2016-02-01,"Male","Acts Intended to Cause Injury"
923,2016-03-01,"Male","Acts Intended to Cause Injury"
823,2016-04-01,"Male","Acts Intended to Cause Injury"
989,2016-05-01,"Male","Acts Intended to Cause Injury"
1060,2016-06-01,"Male","Acts Intended to Cause Injury"
1037,2016-07-01,"Male","Acts Intended to Cause Injury"
955,2016-08-01,"Male","Acts Intended to Cause Injury"
963,2016-09-01,"Male","Acts Intended to Cause Injury"
936,2016-10-01,"Male","Acts Intended to Cause Injury"
988,2016-11-01,"Male","Acts Intended to Cause Injury"
994,2016-12-01,"Male","Acts Intended to Cause Injury"
983,2017-01-01,"Male","Acts Intended to Cause Injury"
917,2017-02-01,"Male","Acts Intended to Cause Injury"
892,2017-03-01,"Male","Acts Intended to Cause Injury"
752,2017-04-01,"Male","Acts Intended to Cause Injury"
836,2017-05-01,"Male","Acts Intended to Cause Injury"
832,2017-06-01,"Male","Acts Intended to Cause Injury"
899,2017-07-01,"Male","Acts Intended to Cause Injury"
841,2017-08-01,"Male","Acts Intended to Cause Injury"
861,2017-09-01,"Male","Acts Intended to Cause Injury"
865,2017-10-01,"Male","Acts Intended to Cause Injury"
900,2017-11-01,"Male","Acts Intended to Cause Injury"
909,2017-12-01,"Male","Acts Intended to Cause Injury"
863,2018-01-01,"Male","Acts Intended to Cause Injury"
808,2018-02-01,"Male","Acts Intended to Cause Injury"
867,2018-03-01,"Male","Acts Intended to Cause Injury"
800,2018-04-01,"Male","Acts Intended to Cause Injury"
862,2018-05-01,"Male","Acts Intended to Cause Injury"
841,2018-06-01,"Male","Acts Intended to Cause Injury"
791,2018-07-01,"Male","Acts Intended to Cause Injury"
824,2018-08-01,"Male","Acts Intended to Cause Injury"
804,2018-09-01,"Male","Acts Intended to Cause Injury"
813,2018-10-01,"Male","Acts Intended to Cause Injury"
830,2018-11-01,"Male","Acts Intended to Cause Injury"
902,2018-12-01,"Male","Acts Intended to Cause Injury"
857,2019-01-01,"Male","Acts Intended to Cause Injury"
793,2019-02-01,"Male","Acts Intended to Cause Injury"
795,2019-03-01,"Male","Acts Intended to Cause Injury"
742,2019-04-01,"Male","Acts Intended to Cause Injury"
831,2019-05-01,"Male","Acts Intended to Cause Injury"
761,2019-06-01,"Male","Acts Intended to Cause Injury"
792,2019-07-01,"Male","Acts Intended to Cause Injury"
774,2019-08-01,"Male","Acts Intended to Cause Injury"
759,2019-09-01,"Male","Acts Intended to Cause Injury"
753,2019-10-01,"Male","Acts Intended to Cause Injury"
779,2019-11-01,"Male","Acts Intended to Cause Injury"
827,2019-12-01,"Male","Acts Intended to Cause Injury"
844,2020-01-01,"Male","Acts Intended to Cause Injury"
782,2020-02-01,"Male","Acts Intended to Cause Injury"
825,2020-03-01,"Male","Acts Intended to Cause Injury"
777,2020-04-01,"Male","Acts Intended to Cause Injury"
761,2020-05-01,"Male","Acts Intended to Cause Injury"
755,2020-06-01,"Male","Acts Intended to Cause Injury"
800,2020-07-01,"Male","Acts Intended to Cause Injury"
785,2020-08-01,"Male","Acts Intended to Cause Injury"
761,2020-09-01,"Male","Acts Intended to Cause Injury"
758,2020-10-01,"Male","Acts Intended to Cause Injury"
787,2020-11-01,"Male","Acts Intended to Cause Injury"
797,2020-12-01,"Male","Acts Intended to Cause Injury"
792,2021-01-01,"Male","Acts Intended to Cause Injury"
669,2021-02-01,"Male","Acts Intended to Cause Injury"
750,2021-03-01,"Male","Acts Intended to Cause Injury"
706,2021-04-01,"Male","Acts Intended to Cause Injury"
722,2021-05-01,"Male","Acts Intended to Cause Injury"
680,2021-06-01,"Male","Acts Intended to Cause Injury"
693,2021-07-01,"Male","Acts Intended to Cause Injury"
648,2021-08-01,"Male","Acts Intended to Cause Injury"
664,2021-09-01,"Male","Acts Intended to Cause Injury"
661,2021-10-01,"Male","Acts Intended to Cause Injury"
693,2021-11-01,"Male","Acts Intended to Cause Injury"
686,2021-12-01,"Male","Acts Intended to Cause Injury"
666,2022-01-01,"Male","Acts Intended to Cause Injury"
593,2022-02-01,"Male","Acts Intended to Cause Injury"
645,2022-03-01,"Male","Acts Intended to Cause Injury"
619,2022-04-01,"Male","Acts Intended to Cause Injury"
665,2022-05-01,"Male","Acts Intended to Cause Injury"
627,2022-06-01,"Male","Acts Intended to Cause Injury"
673,2022-07-01,"Male","Acts Intended to Cause Injury"
717,2022-08-01,"Male","Acts Intended to Cause Injury"
673,2022-09-01,"Male","Acts Intended to Cause Injury"
672,2022-10-01,"Male","Acts Intended to Cause Injury"
666,2022-11-01,"Male","Acts Intended to Cause Injury"
224,2014-07-01,"Female","Dangerous or Negligent Acts Endangering Persons"
207,2014-08-01,"Female","Dangerous or Negligent Acts Endangering Persons"
197,2014-09-01,"Female","Dangerous or Negligent Acts Endangering Persons"
259,2014-10-01,"Female","Dangerous or Negligent Acts Endangering Persons"
206,2014-11-01,"Female","Dangerous or Negligent Acts Endangering Persons"
236,2014-12-01,"Female","Dangerous or Negligent Acts Endangering Persons"
249,2015-01-01,"Female","Dangerous or Negligent Acts Endangering Persons"
233,2015-02-01,"Female","Dangerous or Negligent Acts Endangering Persons"
267,2015-03-01,"Female","Dangerous or Negligent Acts Endangering Persons"
222,2015-04-01,"Female","Dangerous or Negligent Acts Endangering Persons"
248,2015-05-01,"Female","Dangerous or Negligent Acts Endangering Persons"
243,2015-06-01,"Female","Dangerous or Negligent Acts Endangering Persons"
252,2015-07-01,"Female","Dangerous or Negligent Acts Endangering Persons"
239,2015-08-01,"Female","Dangerous or Negligent Acts Endangering Persons"
234,2015-09-01,"Female","Dangerous or Negligent Acts Endangering Persons"
220,2015-10-01,"Female","Dangerous or Negligent Acts Endangering Persons"
238,2015-11-01,"Female","Dangerous or Negligent Acts Endangering Persons"
249,2015-12-01,"Female","Dangerous or Negligent Acts Endangering Persons"
256,2016-01-01,"Female","Dangerous or Negligent Acts Endangering Persons"
263,2016-02-01,"Female","Dangerous or Negligent Acts Endangering Persons"
259,2016-03-01,"Female","Dangerous or Negligent Acts Endangering Persons"
246,2016-04-01,"Female","Dangerous or Negligent Acts Endangering Persons"
263,2016-05-01,"Female","Dangerous or Negligent Acts Endangering Persons"
