"","x"
"89","03:55, 22 August 2024"
"90","03:47, 22 August 2024"
"91","03:47, 22 August 2024"
"92","03:41, 22 August 2024"
"93","02:28, 22 August 2024"
"94","00:40, 22 August 2024"
"95","00:39, 22 August 2024"
"96","00:21, 22 August 2024"
"97","21:13, 21 August 2024"
"98","21:11, 21 August 2024"
"99","20:58, 21 August 2024"
"100","18:32, 21 August 2024"
"101","17:21, 21 August 2024"
"102","17:15, 21 August 2024"
"103","14:46, 21 August 2024"
"104","14:45, 21 August 2024"
"105","14:36, 21 August 2024"
"106","14:31, 21 August 2024"
"107","14:23, 21 August 2024"
"108","05:58, 21 August 2024"
"109","21:59, 20 August 2024"
"110","19:07, 20 August 2024"
"111","19:06, 20 August 2024"
"112","19:04, 20 August 2024"
"113","19:02, 20 August 2024"
"114","19:01, 20 August 2024"
"115","18:58, 20 August 2024"
"116","12:35, 20 August 2024"
"117","12:00, 20 August 2024"
"118","11:59, 20 August 2024"
"119","10:16, 20 August 2024"
"120","03:45, 20 August 2024"
"121","03:42, 20 August 2024"
"122","02:26, 20 August 2024"
"123","01:50, 20 August 2024"
"124","01:24, 20 August 2024"
"125","01:22, 20 August 2024"
"126","01:20, 20 August 2024"
"127","00:19, 20 August 2024"
"128","00:16, 20 August 2024"
"129","00:14, 20 August 2024"
"130","22:53, 19 August 2024"
"131","09:23, 19 August 2024"
"132","09:20, 19 August 2024"
"133","08:58, 19 August 2024"
"134","08:52, 19 August 2024"
"135","08:52, 19 August 2024"
"136","08:52, 19 August 2024"
"137","08:50, 19 August 2024"
"138","01:32, 19 August 2024"
"139","01:25, 19 August 2024"
"140","00:39, 19 August 2024"
"141","00:21, 19 August 2024"
"142","22:44, 18 August 2024"
"143","16:27, 18 August 2024"
"144","14:47, 18 August 2024"
"145","14:24, 18 August 2024"
"146","14:22, 18 August 2024"
"147","14:16, 18 August 2024"
"148","11:18, 18 August 2024"
"149","10:56, 18 August 2024"
"150","02:00, 18 August 2024"
"151","23:53, 17 August 2024"
"152","23:26, 17 August 2024"
"153","23:21, 17 August 2024"
"154","23:16, 17 August 2024"
"155","22:25, 17 August 2024"
"156","19:58, 17 August 2024"
"157","19:55, 17 August 2024"
"158","19:53, 17 August 2024"
"159","19:52, 17 August 2024"
"160","08:35, 17 August 2024"
"161","05:02, 17 August 2024"
"162","02:49, 17 August 2024"
"163","02:33, 17 August 2024"
"164","02:09, 17 August 2024"
"165","14:21, 16 August 2024"
"166","14:20, 16 August 2024"
"167","14:03, 16 August 2024"
"168","13:42, 16 August 2024"
"169","12:31, 16 August 2024"
"170","12:11, 16 August 2024"
"171","07:03, 16 August 2024"
"172","06:57, 16 August 2024"
"173","06:38, 16 August 2024"
"174","01:24, 16 August 2024"
"175","22:22, 15 August 2024"
"176","22:15, 15 August 2024"
"177","21:33, 15 August 2024"
"178","21:31, 15 August 2024"
"179","21:28, 15 August 2024"
"180","21:24, 15 August 2024"
"181","20:10, 15 August 2024"
"182","18:42, 15 August 2024"
"183","17:44, 15 August 2024"
"184","14:09, 15 August 2024"
"185","03:46, 15 August 2024"
"186","03:43, 15 August 2024"
"187","03:37, 15 August 2024"
"188","23:44, 14 August 2024"
"189","22:19, 14 August 2024"
"190","22:18, 14 August 2024"
"191","21:06, 14 August 2024"
"192","20:43, 14 August 2024"
"193","20:30, 14 August 2024"
"194","20:24, 14 August 2024"
"195","20:04, 14 August 2024"
"196","19:30, 14 August 2024"
"197","19:22, 14 August 2024"
"198","18:42, 14 August 2024"
"199","18:40, 14 August 2024"
"200","18:39, 14 August 2024"
"201","18:37, 14 August 2024"
"202","18:36, 14 August 2024"
"203","18:34, 14 August 2024"
"204","18:28, 14 August 2024"
"205","17:57, 14 August 2024"
"206","17:57, 14 August 2024"
"207","15:42, 14 August 2024"
"208","15:31, 14 August 2024"
"209","15:16, 14 August 2024"
"210","15:14, 14 August 2024"
"211","15:10, 14 August 2024"
"212","14:51, 14 August 2024"
"213","14:46, 14 August 2024"
"214","14:13, 14 August 2024"
"215","14:01, 14 August 2024"
"216","13:55, 14 August 2024"
"217","13:38, 14 August 2024"
"218","13:36, 14 August 2024"
"219","13:35, 14 August 2024"
"220","12:40, 14 August 2024"
"221","10:28, 14 August 2024"
"222","04:12, 14 August 2024"
"223","04:11, 14 August 2024"
"224","04:08, 14 August 2024"
"225","01:32, 14 August 2024"
"226","00:46, 14 August 2024"
"227","00:40, 14 August 2024"
"228","23:49, 13 August 2024"
"229","23:48, 13 August 2024"
"230","23:25, 13 August 2024"
"231","23:01, 13 August 2024"
"232","20:47, 13 August 2024"
"233","19:49, 13 August 2024"
"234","19:47, 13 August 2024"
"235","19:40, 13 August 2024"
"236","16:10, 13 August 2024"
"237","13:33, 13 August 2024"
"238","13:31, 13 August 2024"
"239","13:29, 13 August 2024"
"240","12:51, 13 August 2024"
"241","11:15, 13 August 2024"
"242","11:08, 13 August 2024"
"243","11:04, 13 August 2024"
"244","10:52, 13 August 2024"
"245","06:34, 13 August 2024"
"246","06:21, 13 August 2024"
"247","06:05, 13 August 2024"
"248","06:02, 13 August 2024"
"249","05:54, 13 August 2024"
"250","00:52, 13 August 2024"
"251","00:10, 13 August 2024"
"252","23:47, 12 August 2024"
"253","23:46, 12 August 2024"
"254","22:23, 12 August 2024"
"255","20:48, 12 August 2024"
"256","20:46, 12 August 2024"
"257","18:52, 12 August 2024"
"258","15:12, 12 August 2024"
"259","14:55, 12 August 2024"
"260","14:41, 12 August 2024"
"261","14:19, 12 August 2024"
"262","14:11, 12 August 2024"
"263","14:02, 12 August 2024"
"264","13:54, 12 August 2024"
"265","13:50, 12 August 2024"
"266","13:49, 12 August 2024"
"267","13:47, 12 August 2024"
"268","13:18, 12 August 2024"
"269","10:04, 12 August 2024"
"270","09:18, 12 August 2024"
"271","08:14, 12 August 2024"
"272","08:14, 12 August 2024"
"273","08:11, 12 August 2024"
"274","08:09, 12 August 2024"
"275","08:07, 12 August 2024"
"276","08:05, 12 August 2024"
"277","07:29, 12 August 2024"
"278","06:07, 12 August 2024"
"279","05:17, 12 August 2024"
"280","04:57, 12 August 2024"
"281","04:55, 12 August 2024"
"282","04:48, 12 August 2024"
"283","04:48, 12 August 2024"
"284","04:42, 12 August 2024"
"285","04:40, 12 August 2024"
"286","04:23, 12 August 2024"
"287","03:23, 12 August 2024"
"288","03:11, 12 August 2024"
"289","02:03, 12 August 2024"
"290","01:35, 12 August 2024"
"291","00:32, 12 August 2024"
"292","23:01, 11 August 2024"
"293","20:15, 11 August 2024"
"294","20:00, 11 August 2024"
"295","19:59, 11 August 2024"
"296","19:57, 11 August 2024"
"297","19:20, 11 August 2024"
"298","19:10, 11 August 2024"
"299","19:07, 11 August 2024"
"300","19:06, 11 August 2024"
"301","19:06, 11 August 2024"
"302","18:54, 11 August 2024"
"303","14:07, 11 August 2024"
"304","13:38, 11 August 2024"
"305","13:18, 11 August 2024"
"306","13:14, 11 August 2024"
"307","09:51, 11 August 2024"
"308","07:34, 11 August 2024"
"309","05:41, 11 August 2024"
"310","05:24, 11 August 2024"
"311","04:03, 11 August 2024"
"312","03:08, 11 August 2024"
"313","02:59, 11 August 2024"
"314","01:33, 11 August 2024"
"315","00:51, 11 August 2024"
"316","00:50, 11 August 2024"
"317","00:49, 11 August 2024"
"318","00:48, 11 August 2024"
"319","00:46, 11 August 2024"
"320","23:38, 10 August 2024"
"321","23:36, 10 August 2024"
"322","23:18, 10 August 2024"
"323","21:25, 10 August 2024"
"324","21:20, 10 August 2024"
"325","20:54, 10 August 2024"
"326","20:39, 10 August 2024"
"327","19:38, 10 August 2024"
"328","18:48, 10 August 2024"
"329","18:33, 10 August 2024"
"330","18:30, 10 August 2024"
"331","18:26, 10 August 2024"
"332","18:23, 10 August 2024"
"333","18:20, 10 August 2024"
"334","18:18, 10 August 2024"
"335","18:15, 10 August 2024"
"336","18:13, 10 August 2024"
"337","17:56, 10 August 2024"
"338","17:55, 10 August 2024"
"339","17:23, 10 August 2024"
"340","16:20, 10 August 2024"
"341","16:19, 10 August 2024"
"342","16:15, 10 August 2024"
"343","16:14, 10 August 2024"
"344","16:08, 10 August 2024"
"345","16:03, 10 August 2024"
"346","16:02, 10 August 2024"
"347","15:24, 10 August 2024"
"348","15:21, 10 August 2024"
"349","15:08, 10 August 2024"
"350","15:07, 10 August 2024"
"351","14:57, 10 August 2024"
"352","14:53, 10 August 2024"
"353","14:52, 10 August 2024"
"354","14:25, 10 August 2024"
"355","14:03, 10 August 2024"
"356","13:59, 10 August 2024"
"357","13:35, 10 August 2024"
"358","13:32, 10 August 2024"
"359","13:24, 10 August 2024"
"360","12:54, 10 August 2024"
"361","12:21, 10 August 2024"
"362","11:13, 10 August 2024"
"363","11:11, 10 August 2024"
"364","11:10, 10 August 2024"
"365","11:08, 10 August 2024"
"366","11:04, 10 August 2024"
"367","11:02, 10 August 2024"
"368","11:00, 10 August 2024"
"369","08:17, 10 August 2024"
"370","07:54, 10 August 2024"
"371","07:34, 10 August 2024"
"372","04:16, 10 August 2024"
"373","03:50, 10 August 2024"
"374","03:20, 10 August 2024"
"375","03:09, 10 August 2024"
"376","03:01, 10 August 2024"
"377","02:22, 10 August 2024"
"378","02:13, 10 August 2024"
"379","01:53, 10 August 2024"
"380","00:50, 10 August 2024"
"381","00:48, 10 August 2024"
"382","00:48, 10 August 2024"
"383","00:24, 10 August 2024"
"384","23:38, 9 August 2024"
"385","23:16, 9 August 2024"
"386","23:14, 9 August 2024"
"387","23:10, 9 August 2024"
"388","23:01, 9 August 2024"
"389","23:00, 9 August 2024"
"390","22:51, 9 August 2024"
"391","22:39, 9 August 2024"
"392","22:38, 9 August 2024"
"393","22:25, 9 August 2024"
"394","21:47, 9 August 2024"
"395","21:47, 9 August 2024"
"396","21:46, 9 August 2024"
"397","21:45, 9 August 2024"
"398","21:38, 9 August 2024"
"399","21:37, 9 August 2024"
"400","21:36, 9 August 2024"
"401","21:34, 9 August 2024"
"402","21:29, 9 August 2024"
"403","21:25, 9 August 2024"
"404","21:24, 9 August 2024"
"405","21:22, 9 August 2024"
"406","21:20, 9 August 2024"
"407","21:18, 9 August 2024"
"408","21:17, 9 August 2024"
"409","21:16, 9 August 2024"
"410","21:13, 9 August 2024"
"411","21:08, 9 August 2024"
"412","20:38, 9 August 2024"
"413","20:24, 9 August 2024"
"414","19:24, 9 August 2024"
"415","18:31, 9 August 2024"
"416","17:49, 9 August 2024"
"417","17:08, 9 August 2024"
"418","17:08, 9 August 2024"
"419","16:59, 9 August 2024"
"420","16:53, 9 August 2024"
"421","16:35, 9 August 2024"
"422","16:34, 9 August 2024"
"423","16:33, 9 August 2024"
"424","16:20, 9 August 2024"
"425","15:52, 9 August 2024"
"426","15:30, 9 August 2024"
"427","15:27, 9 August 2024"
"428","15:11, 9 August 2024"
"429","14:57, 9 August 2024"
"430","14:40, 9 August 2024"
"431","14:23, 9 August 2024"
"432","14:22, 9 August 2024"
"433","14:19, 9 August 2024"
"434","14:12, 9 August 2024"
"435","14:08, 9 August 2024"
"436","14:07, 9 August 2024"
"437","14:01, 9 August 2024"
"438","13:56, 9 August 2024"
"439","13:41, 9 August 2024"
"440","13:31, 9 August 2024"
"441","13:26, 9 August 2024"
"442","13:10, 9 August 2024"
"443","12:24, 9 August 2024"
"444","12:21, 9 August 2024"
"445","12:17, 9 August 2024"
"446","12:05, 9 August 2024"
"447","12:03, 9 August 2024"
"448","11:54, 9 August 2024"
"449","11:53, 9 August 2024"
"450","11:51, 9 August 2024"
"451","11:48, 9 August 2024"
"452","11:45, 9 August 2024"
"453","11:44, 9 August 2024"
"454","11:43, 9 August 2024"
"455","11:42, 9 August 2024"
"456","11:34, 9 August 2024"
"457","11:26, 9 August 2024"
"458","11:17, 9 August 2024"
"459","10:49, 9 August 2024"
"460","10:43, 9 August 2024"
"461","10:43, 9 August 2024"
"462","10:37, 9 August 2024"
"463","10:32, 9 August 2024"
"464","10:29, 9 August 2024"
"465","10:29, 9 August 2024"
"466","10:17, 9 August 2024"
"467","10:15, 9 August 2024"
"468","09:33, 9 August 2024"
"469","08:55, 9 August 2024"
"470","08:54, 9 August 2024"
"471","08:52, 9 August 2024"
"472","08:17, 9 August 2024"
"473","08:04, 9 August 2024"
"474","07:55, 9 August 2024"
"475","07:52, 9 August 2024"
"476","07:44, 9 August 2024"
"477","07:35, 9 August 2024"
"478","07:29, 9 August 2024"
"479","04:52, 9 August 2024"
"480","04:31, 9 August 2024"
"481","04:12, 9 August 2024"
"482","04:03, 9 August 2024"
"483","03:58, 9 August 2024"
"484","03:50, 9 August 2024"
"485","03:44, 9 August 2024"
"486","03:34, 9 August 2024"
"487","03:21, 9 August 2024"
"488","03:15, 9 August 2024"
"489","03:14, 9 August 2024"
"490","03:12, 9 August 2024"
"491","03:10, 9 August 2024"
"492","03:05, 9 August 2024"
"493","02:59, 9 August 2024"
"494","02:59, 9 August 2024"
"495","02:54, 9 August 2024"
"496","02:39, 9 August 2024"
"497","02:23, 9 August 2024"
"498","02:14, 9 August 2024"
"499","02:12, 9 August 2024"
"500","02:11, 9 August 2024"
"501","02:10, 9 August 2024"
"502","02:09, 9 August 2024"
"503","02:05, 9 August 2024"
"504","02:02, 9 August 2024"
"505","02:00, 9 August 2024"
"506","01:59, 9 August 2024"
"507","01:57, 9 August 2024"
"508","01:56, 9 August 2024"
"509","01:55, 9 August 2024"
"510","01:54, 9 August 2024"
"511","01:50, 9 August 2024"
"512","01:49, 9 August 2024"
"513","01:49, 9 August 2024"
"514","01:35, 9 August 2024"
"515","01:34, 9 August 2024"
"516","01:29, 9 August 2024"
"517","01:25, 9 August 2024"
"518","01:12, 9 August 2024"
"519","01:11, 9 August 2024"
"520","01:11, 9 August 2024"
"521","21:55, 8 August 2024"
"522","21:54, 8 August 2024"
"523","21:38, 8 August 2024"
"524","21:03, 8 August 2024"
"525","20:47, 8 August 2024"
"526","20:08, 8 August 2024"
"527","20:01, 8 August 2024"
"528","19:25, 8 August 2024"
"529","19:24, 8 August 2024"
"530","19:11, 8 August 2024"
"531","19:06, 8 August 2024"
"532","18:57, 8 August 2024"
"533","18:40, 8 August 2024"
"534","18:30, 8 August 2024"
"535","18:26, 8 August 2024"
"536","18:10, 8 August 2024"
"537","17:59, 8 August 2024"
"538","17:42, 8 August 2024"
"539","17:33, 8 August 2024"
"540","17:26, 8 August 2024"
"541","17:09, 8 August 2024"
"542","17:05, 8 August 2024"
"543","17:02, 8 August 2024"
"544","16:59, 8 August 2024"
"545","16:57, 8 August 2024"
"546","16:34, 8 August 2024"
"547","16:12, 8 August 2024"
"548","15:55, 8 August 2024"
"549","15:51, 8 August 2024"
"550","15:30, 8 August 2024"
"551","15:28, 8 August 2024"
"552","15:21, 8 August 2024"
"553","15:18, 8 August 2024"
"554","15:12, 8 August 2024"
"555","14:54, 8 August 2024"
"556","14:27, 8 August 2024"
"557","14:20, 8 August 2024"
"558","14:19, 8 August 2024"
"559","14:19, 8 August 2024"
"560","13:58, 8 August 2024"
"561","13:49, 8 August 2024"
"562","13:44, 8 August 2024"
"563","13:24, 8 August 2024"
"564","13:08, 8 August 2024"
"565","13:07, 8 August 2024"
"566","12:55, 8 August 2024"
"567","12:54, 8 August 2024"
"568","12:50, 8 August 2024"
"569","12:44, 8 August 2024"
"570","12:39, 8 August 2024"
"571","12:36, 8 August 2024"
"572","12:36, 8 August 2024"
"573","12:23, 8 August 2024"
"574","12:04, 8 August 2024"
"575","11:55, 8 August 2024"
"576","11:36, 8 August 2024"
"577","10:53, 8 August 2024"
"578","10:48, 8 August 2024"
"579","10:44, 8 August 2024"
"580","10:39, 8 August 2024"
"581","10:37, 8 August 2024"
"582","10:36, 8 August 2024"
"583","10:35, 8 August 2024"
"584","10:35, 8 August 2024"
"585","10:33, 8 August 2024"
"586","10:32, 8 August 2024"
"587","10:32, 8 August 2024"
"588","10:31, 8 August 2024"
"589","10:29, 8 August 2024"
"590","10:20, 8 August 2024"
"591","10:16, 8 August 2024"
"592","10:14, 8 August 2024"
"593","10:12, 8 August 2024"
"594","10:08, 8 August 2024"
"595","09:14, 8 August 2024"
"596","09:08, 8 August 2024"
"597","09:05, 8 August 2024"
"598","09:01, 8 August 2024"
"599","09:01, 8 August 2024"
"600","09:00, 8 August 2024"
"601","08:58, 8 August 2024"
"602","08:58, 8 August 2024"
"603","08:57, 8 August 2024"
"604","08:56, 8 August 2024"
"605","08:55, 8 August 2024"
"606","08:52, 8 August 2024"
"607","08:50, 8 August 2024"
"608","08:45, 8 August 2024"
"609","08:43, 8 August 2024"
"610","08:42, 8 August 2024"
"611","08:40, 8 August 2024"
"612","08:36, 8 August 2024"
"613","08:35, 8 August 2024"
"614","08:32, 8 August 2024"
"615","08:29, 8 August 2024"
"616","08:27, 8 August 2024"
"617","08:23, 8 August 2024"
"618","08:21, 8 August 2024"
"619","08:15, 8 August 2024"
"620","08:08, 8 August 2024"
"621","06:54, 8 August 2024"
"622","06:46, 8 August 2024"
"623","06:14, 8 August 2024"
"624","06:13, 8 August 2024"
"625","06:11, 8 August 2024"
"626","06:05, 8 August 2024"
"627","06:02, 8 August 2024"
"628","05:54, 8 August 2024"
"629","05:52, 8 August 2024"
"630","05:50, 8 August 2024"
"631","05:21, 8 August 2024"
"632","03:10, 8 August 2024"
"633","02:57, 8 August 2024"
"634","02:53, 8 August 2024"
"635","02:52, 8 August 2024"
"636","02:44, 8 August 2024"
"637","02:42, 8 August 2024"
"638","02:40, 8 August 2024"
"639","02:18, 8 August 2024"
"640","02:05, 8 August 2024"
"641","02:01, 8 August 2024"
"642","01:57, 8 August 2024"
"643","01:56, 8 August 2024"
"644","01:31, 8 August 2024"
"645","01:03, 8 August 2024"
"646","01:00, 8 August 2024"
"647","00:59, 8 August 2024"
"648","00:58, 8 August 2024"
"649","00:56, 8 August 2024"
"650","00:54, 8 August 2024"
"651","00:52, 8 August 2024"
"652","00:51, 8 August 2024"
"653","00:21, 8 August 2024"
"654","00:17, 8 August 2024"
"655","23:41, 7 August 2024"
"656","23:39, 7 August 2024"
"657","23:13, 7 August 2024"
"658","23:06, 7 August 2024"
"659","23:01, 7 August 2024"
"660","22:36, 7 August 2024"
"661","22:31, 7 August 2024"
"662","21:40, 7 August 2024"
"663","21:20, 7 August 2024"
"664","21:00, 7 August 2024"
"665","20:54, 7 August 2024"
"666","20:48, 7 August 2024"
"667","20:48, 7 August 2024"
"668","20:36, 7 August 2024"
"669","20:35, 7 August 2024"
"670","20:33, 7 August 2024"
"671","20:32, 7 August 2024"
"672","19:54, 7 August 2024"
"673","19:54, 7 August 2024"
"674","19:53, 7 August 2024"
"675","19:52, 7 August 2024"
"676","19:51, 7 August 2024"
"677","19:51, 7 August 2024"
"678","19:50, 7 August 2024"
"679","19:05, 7 August 2024"
"680","19:04, 7 August 2024"
"681","19:04, 7 August 2024"
"682","19:02, 7 August 2024"
"683","18:59, 7 August 2024"
"684","18:58, 7 August 2024"
"685","18:46, 7 August 2024"
"686","18:43, 7 August 2024"
"687","18:38, 7 August 2024"
"688","18:35, 7 August 2024"
"689","18:35, 7 August 2024"
"690","18:24, 7 August 2024"
"691","18:23, 7 August 2024"
"692","18:19, 7 August 2024"
"693","17:54, 7 August 2024"
"694","17:34, 7 August 2024"
"695","17:32, 7 August 2024"
"696","17:31, 7 August 2024"
"697","17:21, 7 August 2024"
"698","17:14, 7 August 2024"
"699","16:33, 7 August 2024"
"700","16:19, 7 August 2024"
"701","16:17, 7 August 2024"
"702","16:16, 7 August 2024"
"703","16:13, 7 August 2024"
"704","16:13, 7 August 2024"
"705","16:11, 7 August 2024"
"706","16:11, 7 August 2024"
"707","16:10, 7 August 2024"
"708","16:09, 7 August 2024"
"709","16:07, 7 August 2024"
"710","16:06, 7 August 2024"
"711","16:00, 7 August 2024"
"712","15:48, 7 August 2024"
"713","15:38, 7 August 2024"
"714","15:36, 7 August 2024"
"715","15:35, 7 August 2024"
"716","15:33, 7 August 2024"
"717","15:16, 7 August 2024"
"718","15:08, 7 August 2024"
"719","15:04, 7 August 2024"
"720","15:03, 7 August 2024"
"721","15:01, 7 August 2024"
"722","14:58, 7 August 2024"
"723","14:57, 7 August 2024"
"724","14:57, 7 August 2024"
"725","14:56, 7 August 2024"
"726","14:54, 7 August 2024"
"727","14:53, 7 August 2024"
"728","14:52, 7 August 2024"
"729","14:49, 7 August 2024"
"730","14:47, 7 August 2024"
"731","14:46, 7 August 2024"
"732","14:46, 7 August 2024"
"733","14:44, 7 August 2024"
"734","14:43, 7 August 2024"
"735","14:42, 7 August 2024"
"736","14:42, 7 August 2024"
"737","14:41, 7 August 2024"
"738","14:39, 7 August 2024"
"739","14:38, 7 August 2024"
"740","14:37, 7 August 2024"
"741","14:33, 7 August 2024"
"742","14:32, 7 August 2024"
"743","14:27, 7 August 2024"
"744","14:27, 7 August 2024"
"745","14:24, 7 August 2024"
"746","14:19, 7 August 2024"
"747","14:18, 7 August 2024"
"748","14:17, 7 August 2024"
"749","14:16, 7 August 2024"
"750","14:15, 7 August 2024"
"751","14:02, 7 August 2024"
"752","13:37, 7 August 2024"
"753","13:17, 7 August 2024"
"754","13:09, 7 August 2024"
"755","13:05, 7 August 2024"
"756","12:59, 7 August 2024"
"757","12:58, 7 August 2024"
"758","12:55, 7 August 2024"
"759","12:05, 7 August 2024"
"760","12:00, 7 August 2024"
"761","11:33, 7 August 2024"
"762","11:10, 7 August 2024"
"763","11:07, 7 August 2024"
"764","10:56, 7 August 2024"
"765","10:43, 7 August 2024"
"766","09:59, 7 August 2024"
"767","09:32, 7 August 2024"
"768","09:25, 7 August 2024"
"769","09:08, 7 August 2024"
"770","09:06, 7 August 2024"
"771","08:59, 7 August 2024"
"772","08:55, 7 August 2024"
"773","08:47, 7 August 2024"
"774","08:19, 7 August 2024"
"775","08:05, 7 August 2024"
"776","08:04, 7 August 2024"
"777","07:55, 7 August 2024"
"778","07:52, 7 August 2024"
"779","07:46, 7 August 2024"
"780","07:39, 7 August 2024"
"781","07:37, 7 August 2024"
"782","07:34, 7 August 2024"
"783","07:33, 7 August 2024"
"784","07:30, 7 August 2024"
"785","07:28, 7 August 2024"
"786","07:27, 7 August 2024"
"787","07:24, 7 August 2024"
"788","07:22, 7 August 2024"
"789","06:12, 7 August 2024"
"790","06:04, 7 August 2024"
"791","06:02, 7 August 2024"
"792","06:01, 7 August 2024"
"793","06:01, 7 August 2024"
"794","06:01, 7 August 2024"
"795","05:58, 7 August 2024"
"796","05:58, 7 August 2024"
"797","05:50, 7 August 2024"
"798","05:47, 7 August 2024"
"799","05:39, 7 August 2024"
"800","05:35, 7 August 2024"
"801","05:20, 7 August 2024"
"802","05:13, 7 August 2024"
"803","05:11, 7 August 2024"
"804","04:48, 7 August 2024"
"805","04:45, 7 August 2024"
"806","04:41, 7 August 2024"
"807","04:39, 7 August 2024"
"808","04:27, 7 August 2024"
"809","04:27, 7 August 2024"
"810","04:08, 7 August 2024"
"811","03:55, 7 August 2024"
"812","03:48, 7 August 2024"
"813","03:27, 7 August 2024"
"814","03:15, 7 August 2024"
"815","03:08, 7 August 2024"
"816","03:06, 7 August 2024"
"817","03:05, 7 August 2024"
"818","03:03, 7 August 2024"
"819","03:01, 7 August 2024"
"820","03:01, 7 August 2024"
"821","02:59, 7 August 2024"
"822","02:58, 7 August 2024"
"823","02:49, 7 August 2024"
"824","02:48, 7 August 2024"
"825","02:43, 7 August 2024"
"826","02:41, 7 August 2024"
"827","02:34, 7 August 2024"
"828","02:31, 7 August 2024"
"829","02:27, 7 August 2024"
"830","02:24, 7 August 2024"
"831","02:23, 7 August 2024"
"832","02:09, 7 August 2024"
"833","02:07, 7 August 2024"
"834","02:05, 7 August 2024"
"835","01:56, 7 August 2024"
"836","01:56, 7 August 2024"
"837","01:46, 7 August 2024"
"838","01:40, 7 August 2024"
"839","00:55, 7 August 2024"
"840","00:50, 7 August 2024"
"841","00:34, 7 August 2024"
"842","00:22, 7 August 2024"
"843","00:21, 7 August 2024"
"844","00:20, 7 August 2024"
"845","00:13, 7 August 2024"
"846","00:12, 7 August 2024"
"847","00:11, 7 August 2024"
"848","00:09, 7 August 2024"
"849","00:05, 7 August 2024"
"850","00:03, 7 August 2024"
"851","00:01, 7 August 2024"
"852","23:59, 6 August 2024"
"853","23:52, 6 August 2024"
"854","23:51, 6 August 2024"
"855","23:40, 6 August 2024"
"856","23:33, 6 August 2024"
"857","23:27, 6 August 2024"
"858","23:18, 6 August 2024"
"859","23:12, 6 August 2024"
"860","23:11, 6 August 2024"
"861","23:09, 6 August 2024"
"862","23:04, 6 August 2024"
"863","23:02, 6 August 2024"
"864","22:59, 6 August 2024"
"865","22:56, 6 August 2024"
"866","22:54, 6 August 2024"
"867","22:48, 6 August 2024"
"868","22:45, 6 August 2024"
"869","22:44, 6 August 2024"
"870","22:44, 6 August 2024"
"871","22:43, 6 August 2024"
"872","22:31, 6 August 2024"
"873","22:28, 6 August 2024"
"874","22:28, 6 August 2024"
