"","words","word_num","Freq","threshold"
"174","it",174,1,0.5
"175","did",175,1,0.5
"176","not",176,1,0.5
"177","readily",177,1,0.5
"178","provide",178,1,0.5
"179","information",179,1,0.5
"180","about",180,1.14,0.5
"181","our",181,0.94,0.5
"182","question",182,0.74,0.5
"183","of",183,0.54,0.5
"184","interest.",184,0.34,0.5
"185","Additional",185,0,0.5
"186","data",186,0,0.5
"187","from",187,0,0.5
"188","this",188,0,0.5
"189","study",189,0,0.5
"190","was",190,0,0.5
"191","found",191,0,0.5
"192","in",192,0,0.5
"193","the",193,0,0.5
"194","participants'",194,0,0.5
"195","note",195,0,0.5
"196","pads.",196,0,0.5
"197","Through",197,0,0.5
"198","cleaning",198,0,0.5
"199","sequential",199,0,0.5
"200","notes",200,0,0.5
"201","and",201,0,0.5
"202","designing",202,0,0.5
"203","a",203,0,0.5
"204","method",204,0,0.5
"205","for",205,0,0.5
"206","highlighting",206,0,0.5
"207","study",207,0,0.5
"208","transcripts",208,0,0.5
"209","according",209,0,0.5
"210","to",210,0,0.5
"211","the",211,0,0.5
"212","frequency",212,0,0.5
"213","of",213,0,0.5
"214","collocations",214,0,0.5
"215","in",215,0,0.5
"216","participant",216,0,0.5
"217","notes,",217,0,0.5
"218","we",218,0,0.5
"219","can",219,0,0.5
"220","determine",220,0,0.5
"221","which",221,0,0.5
"222","portions",222,0,0.5
"223","of",223,0,0.5
"224","testimony",224,0,0.5
"225","participants",225,0,0.5
"226","found",226,0,0.5
"227","'noteworthy'.",227,0,0.5
"228","We",228,0,0.5
"229","also",229,0,0.5
"230","conducted",230,0.144827586206897,0.5
"231","a",231,0.344827586206897,0.5
"232","study",232,0.489655172413793,0.5
"233","on",233,0.489655172413793,0.5
"234","response",234,0.489655172413793,0.5
"235","types",235,0.344827586206897,0.5
"236","to",236,0.501077586206897,0.5
"237","determine",237,0.55625,0.5
"238","the",238,0.75625,0.5
"239","consistency",239,0.95625,0.5
"240","of",240,1.15625,0.5
"241","participant",241,1,0.5
"242","responses",242,1,0.5
"243","across",243,1,0.5
"244","response",244,1,0.5
"245","types,",245,1,0.5
"246","compare",246,1,0.5
"247","a",247,1,0.5
"248","variety",248,1,0.5
"249","of",249,1,0.5
"250","response",250,1,0.5
"251","types,",251,1,0.5
"252","and",252,1,0.5
"253","determine",253,1,0.5
"254","which",254,1,0.5
"255","response",255,1,0.5
"256","type",256,1,0.5
"257","may",257,1,0.5
"258","be",258,1,0.5
"259","appropriately",259,1,0.5
"260","calibrated",260,1,0.5
"261","for",261,1,0.5
"262","addressing",262,1,0.5
"263","the",263,1,0.5
"264","initial",264,1,0.5
"265","research",265,1,0.5
"266","question",266,1.10625,0.5
"267","of",267,1.10625,0.5
"268","jury",268,1.10625,0.5
"269","perception",269,1.10625,0.5
"270","of",270,1.36458333333333,0.5
"271","algorithms",271,1.48956256921373,0.5
"272","and",272,1.28956256921373,0.5
"273","demonstrative",273,1.08956256921373,0.5
"274","evidence.",274,0.889562569213732,0.5
"275","The",275,0.779377384028547,0.5
"276","response",276,0.548148148148148,0.5
"277","types",277,0.748148148148148,0.5
"278","used",278,0.948148148148148,0.5
"279","in",279,1.14814814814815,0.5
"280","this",280,1,0.5
"281","investigation",281,1,0.5
"282","include",282,1,0.5
"283","the",283,1,0.5
"284","participant's",284,1,0.5
"285","interpretation",285,1,0.5
"286","of",286,2.09501915708812,0.5
"287","the",287,2.09501915708812,0.5
"288","strength",288,2.09501915708812,0.5
"289","of",289,2.09501915708812,0.5
"290","evidence",290,2.09501915708812,0.5
"291","(Likert",291,1,0.5
"292","scale),",292,1,0.5
"293","conviction",293,1,0.5
"294","decision",294,1,0.5
"295","(binary),",295,1,0.5
"296","opinion",296,1,0.5
"297","of",297,1,0.5
"298","guilt",298,1,0.5
"299","(binary),",299,1,0.5
"300","willingness",300,1,0.5
"301","to",301,1,0.5
"302","bet",302,1,0.5
"303","on",303,1,0.5
"304","their",304,1,0.5
"305","opinion",305,1,0.5
"306","of",306,1,0.5
"307","guilt",307,1,0.5
"308","(numeric),",308,1,0.5
"309","probability",309,1,0.5
"310","of",310,1,0.5
"311","guilt",311,1,0.5
"312","(numeric),",312,1,0.5
"313","and",313,1,0.5
"314","chance",314,1,0.5
"315","of",315,1,0.5
"316","guilt",316,1,0.5
"317","/innocence",317,1,0.5
"318","(numeric",318,0.8,0.5
"319","or",319,0.6,0.5
"320","multiple",320,0.4,0.5
"321","choice).",321,0.2,0.5
"322","The",322,0,0.5
"323","note",323,0,0.5
"324","cleaning,",324,0,0.5
"325","text",325,0,0.5
"326","analysis,",326,0,0.5
"327","and",327,0,0.5
"328","testimony",328,0,0.5
"329","tools",329,0,0.5
"330","we",330,0,0.5
"331","developed",331,0,0.5
"332","throughout",332,0,0.5
"333","this",333,0,0.5
"334","series",334,0,0.5
"335","of",335,0,0.5
"336","experiments",336,0,0.5
"337","will",337,0,0.5
"338","benefit",338,0,0.5
"339","our",339,0,0.5
"340","future",340,0,0.5
"341","research",341,0,0.5
"342","in",342,0,0.5
"343","jury",343,0,0.5
"344","perception,",344,0,0.5
"345","as",345,0,0.5
"346","well",346,0,0.5
"347","as",347,0,0.5
"348","future",348,0,0.5
"349","transcript",349,0,0.5
"350","studies.",350,0,0.5
"351","Subjective",1,2,0.55
"352","pattern",2,2,0.55
"353","comparison",3,2,0.55
"354","has",4,2,0.55
"355","been",5,2,0.55
"356","subject",6,2,0.55
"357","to",7,2,0.55
"358","increased",8,2,0.55
"359","scrutiny",9,2,0.55
"360","by",10,2,0.55
"361","the",11,2,0.55
"362","courts",12,2,0.55
"363","and",13,2,0.55
"364","by",14,2,0.55
"365","the",15,2,0.55
"366","general",16,2,0.55
"367","public,",17,2,0.55
"368","resulting",18,2,0.55
"369","in",19,2.89530006433232,0.55
"370","an",20,2.89530006433232,0.55
"371","increased",21,2.89530006433232,0.55
"372","interest",22,2.89530006433232,0.55
"373","in",23,2.89530006433232,0.55
"374","pattern",24,2,0.55
"375","comparison",25,2,0.55
"376","algorithms",26,2,0.55
"377","that",27,2,0.55
"378","provide",28,2,0.55
"379","quantitative",29,2,0.55
"380","assessments",30,2,0.55
"381","of",31,2,0.55
"382","similarity",32,2,0.55
"383","for",33,2,0.55
"384","use",34,1.95483870967742,0.55
"385","by",35,1.75483870967742,0.55
"386","forensic",36,1.55483870967742,0.55
"387","scientists.",37,1.35483870967742,0.55
"388","While",38,1.15483870967742,0.55
"389","these",39,1,0.55
"390","algorithms",40,1,0.55
"391","would",41,1,0.55
"392","mark",42,1,0.55
"393","an",43,1,0.55
"394","improvement",44,1,0.55
"395","over",45,1,0.55
"396","current",46,1,0.55
"397","subjective",47,1,0.55
"398","comparison",48,1,0.55
"399","methods,",49,1,0.55
"400","individuals",50,1,0.55
"401","without",51,1,0.55
"402","a",52,1,0.55
"403","statistical",53,1,0.55
"404","background",54,1,0.55
"405","may",55,1,0.55
"406","struggle",56,1,0.55
"407","with",57,1,0.55
"408","the",58,1,0.55
"409","statistical",59,1,0.55
"410","concepts",60,1,0.55
"411","and",61,1,0.55
"412","language",62,1,0.55
"413","necessary",63,1,0.55
"414","for",64,1,0.55
"415","describing",65,1,0.55
"416","algorithmic",66,1,0.55
"417","methods.",67,1,0.55
"418","If",68,1.34166666666667,0.55
"419","algorithms",69,1.54166666666667,0.55
"420","are",70,1.74166666666667,0.55
"421","to",71,1.94166666666667,0.55
"422","be",72,2.14166666666667,0.55
"423","used,",73,2,0.55
"424","examiners",74,2,0.55
"425","must",75,2,0.55
"426","be",76,2,0.55
"427","able",77,2,0.55
"428","to",78,2,0.55
"429","testify",79,2,0.55
"430","about",80,2,0.55
"431","their",81,2,0.55
"432","use",82,2,0.55
"433","in",83,2,0.55
"434","a",84,2,0.55
"435","way",85,2,0.55
"436","that",86,2,0.55
"437","is",87,2,0.55
"438","accessible",88,1.97391304347826,0.55
"439","to",89,1.77391304347826,0.55
"440","the",90,1.57391304347826,0.55
"441","jury.",91,1.49391304347826,0.55
"442","In",92,1.49391304347826,0.55
"443","a",93,1.52,0.55
"444","series",94,1.72,0.55
"445","of",95,1.90095238095238,0.55
"446","studies,",96,1.58095238095238,0.55
"447","we",97,1.18095238095238,0.55
"448","conduct",98,0.780952380952381,0.55
"449","an",99,0.671861471861472,0.55
"450","assessment",100,0.690909090909091,0.55
"451","of",101,1.09090909090909,0.55
"452","language",102,1.49090909090909,0.55
"453","and",103,1.89090909090909,0.55
"454","supporting",104,2,0.55
"455","visual",105,2,0.55
"456","aids",106,2,0.55
"457","which",107,2,0.55
"458","might",108,2,0.55
"459","be",109,2,0.55
"460","used",110,2,0.55
"461","to",111,2,0.55
"462","explain",112,2,0.55
"463","bullet",113,3.71872598162072,0.55
"464","matching",114,3.31872598162072,0.55
"465","algorithms.",115,2.91872598162072,0.55
"466","In",116,2.51872598162072,0.55
"467","the",117,2.11872598162072,0.55
"468","initial",118,0,0.55
"469","study,",119,0,0.55
"470","we",120,0,0.55
"471","encountered",121,0,0.55
"472","a",122,0.151515151515152,0.55
"473","response",123,0.151515151515152,0.55
"474","type",124,0.151515151515152,0.55
"475","calibration",125,0.151515151515152,0.55
"476","issue",126,0.293620414673046,0.55
"477","-",127,NA,0.55
"478","individuals",128,0.342105263157895,0.55
"479","thought",129,0.542105263157895,0.55
"480","highly",130,0.742105263157895,0.55
"481","of",131,0.942105263157895,0.55
"482","the",132,1,0.55
"483","forensic",133,1,0.55
"484","witness",134,1,0.55
"485","and",135,1,0.55
"486","evidence",136,1,0.55
"487","regardless",137,1,0.55
"488","of",138,1,0.55
"489","experimental",139,1,0.55
"490","conditions,",140,1,0.55
"491","'maxing",141,1,0.55
"492","out'",142,1,0.55
"493","Likert",143,1,0.55
"494","response",144,1,0.55
"495","scales",145,1,0.55
"496","and",146,1,0.55
"497","leaving",147,1,0.55
"498","us",148,1,0.55
"499","unable",149,1,0.55
"500","to",150,1,0.55
"501","tell",151,1,0.55
"502","if",152,1,0.55
"503","the",153,1,0.55
"504","conditions",154,1,0.55
"505","had",155,1,0.55
"506","any",156,1,0.55
"507","effect.",157,1,0.55
"508","While",158,1,0.55
"509","this",159,1,0.55
"510","study",160,1,0.55
"511","indicated",161,1,0.55
"512","that",162,1,0.55
"513","individuals",163,1,0.55
"514","overall",164,1,0.55
"515","found",165,1,0.55
"516","the",166,1,0.55
"517","testimony",167,1,0.55
"518","to",168,1,0.55
"519","be",169,1,0.55
"520","reliable,",170,1,0.55
"521","credible,",171,1,0.55
"522","and",172,1,0.55
"523","scientific,",173,1,0.55
"524","it",174,1,0.55
"525","did",175,1,0.55
"526","not",176,1,0.55
"527","readily",177,1,0.55
"528","provide",178,1,0.55
"529","information",179,1,0.55
"530","about",180,1.14,0.55
"531","our",181,0.94,0.55
"532","question",182,0.74,0.55
"533","of",183,0.54,0.55
"534","interest.",184,0.34,0.55
"535","Additional",185,0,0.55
"536","data",186,0,0.55
"537","from",187,0,0.55
"538","this",188,0,0.55
"539","study",189,0,0.55
"540","was",190,0,0.55
"541","found",191,0,0.55
"542","in",192,0,0.55
"543","the",193,0,0.55
"544","participants'",194,0,0.55
"545","note",195,0,0.55
"546","pads.",196,0,0.55
"547","Through",197,0,0.55
"548","cleaning",198,0,0.55
"549","sequential",199,0,0.55
"550","notes",200,0,0.55
"551","and",201,0,0.55
"552","designing",202,0,0.55
"553","a",203,0,0.55
"554","method",204,0,0.55
"555","for",205,0,0.55
"556","highlighting",206,0,0.55
"557","study",207,0,0.55
"558","transcripts",208,0,0.55
"559","according",209,0,0.55
"560","to",210,0,0.55
"561","the",211,0,0.55
"562","frequency",212,0,0.55
"563","of",213,0,0.55
"564","collocations",214,0,0.55
"565","in",215,0,0.55
"566","participant",216,0,0.55
"567","notes,",217,0,0.55
"568","we",218,0,0.55
"569","can",219,0,0.55
"570","determine",220,0,0.55
"571","which",221,0,0.55
"572","portions",222,0,0.55
"573","of",223,0,0.55
"574","testimony",224,0,0.55
"575","participants",225,0,0.55
"576","found",226,0,0.55
"577","'noteworthy'.",227,0,0.55
"578","We",228,0,0.55
"579","also",229,0,0.55
"580","conducted",230,0.144827586206897,0.55
"581","a",231,0.344827586206897,0.55
"582","study",232,0.489655172413793,0.55
"583","on",233,0.489655172413793,0.55
"584","response",234,0.489655172413793,0.55
"585","types",235,0.344827586206897,0.55
"586","to",236,0.501077586206897,0.55
"587","determine",237,0.55625,0.55
"588","the",238,0.75625,0.55
"589","consistency",239,0.95625,0.55
"590","of",240,1.15625,0.55
"591","participant",241,1,0.55
"592","responses",242,1,0.55
"593","across",243,1,0.55
"594","response",244,1,0.55
"595","types,",245,1,0.55
"596","compare",246,1,0.55
"597","a",247,1,0.55
"598","variety",248,1,0.55
"599","of",249,1,0.55
"600","response",250,1,0.55
"601","types,",251,1,0.55
"602","and",252,1,0.55
"603","determine",253,1,0.55
"604","which",254,1,0.55
"605","response",255,1,0.55
"606","type",256,1,0.55
"607","may",257,1,0.55
"608","be",258,1,0.55
"609","appropriately",259,1,0.55
"610","calibrated",260,1,0.55
"611","for",261,1,0.55
"612","addressing",262,1,0.55
"613","the",263,1,0.55
"614","initial",264,1,0.55
"615","research",265,1,0.55
"616","question",266,1,0.55
"617","of",267,1,0.55
"618","jury",268,1,0.55
"619","perception",269,1,0.55
"620","of",270,1.25833333333333,0.55
"621","algorithms",271,1.48956256921373,0.55
"622","and",272,1.28956256921373,0.55
"623","demonstrative",273,1.08956256921373,0.55
"624","evidence.",274,0.889562569213732,0.55
"625","The",275,0.779377384028547,0.55
"626","response",276,0.548148148148148,0.55
"627","types",277,0.748148148148148,0.55
"628","used",278,0.948148148148148,0.55
"629","in",279,1.14814814814815,0.55
"630","this",280,1,0.55
"631","investigation",281,1,0.55
"632","include",282,1,0.55
"633","the",283,1,0.55
"634","participant's",284,1,0.55
"635","interpretation",285,1,0.55
"636","of",286,2.09501915708812,0.55
"637","the",287,2.09501915708812,0.55
"638","strength",288,2.09501915708812,0.55
"639","of",289,2.09501915708812,0.55
"640","evidence",290,2.09501915708812,0.55
"641","(Likert",291,1,0.55
"642","scale),",292,1,0.55
"643","conviction",293,1,0.55
"644","decision",294,1,0.55
"645","(binary),",295,1,0.55
"646","opinion",296,1,0.55
"647","of",297,1,0.55
"648","guilt",298,1,0.55
"649","(binary),",299,1,0.55
"650","willingness",300,1,0.55
"651","to",301,1,0.55
"652","bet",302,1,0.55
"653","on",303,1,0.55
"654","their",304,1,0.55
"655","opinion",305,1,0.55
"656","of",306,1,0.55
"657","guilt",307,1,0.55
"658","(numeric),",308,1,0.55
"659","probability",309,1,0.55
"660","of",310,1,0.55
"661","guilt",311,1,0.55
"662","(numeric),",312,1,0.55
"663","and",313,1,0.55
"664","chance",314,1,0.55
"665","of",315,1,0.55
"666","guilt",316,1,0.55
"667","/innocence",317,1,0.55
"668","(numeric",318,0.8,0.55
"669","or",319,0.6,0.55
"670","multiple",320,0.4,0.55
"671","choice).",321,0.2,0.55
"672","The",322,0,0.55
"673","note",323,0,0.55
"674","cleaning,",324,0,0.55
"675","text",325,0,0.55
"676","analysis,",326,0,0.55
"677","and",327,0,0.55
"678","testimony",328,0,0.55
"679","tools",329,0,0.55
"680","we",330,0,0.55
"681","developed",331,0,0.55
"682","throughout",332,0,0.55
"683","this",333,0,0.55
"684","series",334,0,0.55
"685","of",335,0,0.55
"686","experiments",336,0,0.55
"687","will",337,0,0.55
"688","benefit",338,0,0.55
"689","our",339,0,0.55
"690","future",340,0,0.55
"691","research",341,0,0.55
"692","in",342,0,0.55
"693","jury",343,0,0.55
"694","perception,",344,0,0.55
"695","as",345,0,0.55
"696","well",346,0,0.55
"697","as",347,0,0.55
"698","future",348,0,0.55
"699","transcript",349,0,0.55
"700","studies.",350,0,0.55
"701","Subjective",1,2,0.6
"702","pattern",2,2,0.6
"703","comparison",3,2,0.6
"704","has",4,2,0.6
"705","been",5,2,0.6
"706","subject",6,2,0.6
"707","to",7,2,0.6
"708","increased",8,2,0.6
"709","scrutiny",9,2,0.6
"710","by",10,2,0.6
"711","the",11,2,0.6
"712","courts",12,2,0.6
"713","and",13,2,0.6
"714","by",14,2,0.6
"715","the",15,2,0.6
"716","general",16,2,0.6
"717","public,",17,2,0.6
"718","resulting",18,2,0.6
"719","in",19,2.89530006433232,0.6
"720","an",20,2.89530006433232,0.6
"721","increased",21,2.89530006433232,0.6
"722","interest",22,2.89530006433232,0.6
"723","in",23,2.89530006433232,0.6
"724","pattern",24,2,0.6
"725","comparison",25,2,0.6
"726","algorithms",26,2,0.6
"727","that",27,2,0.6
"728","provide",28,2,0.6
"729","quantitative",29,2,0.6
"730","assessments",30,2,0.6
"731","of",31,2,0.6
"732","similarity",32,2,0.6
"733","for",33,2,0.6
"734","use",34,1.95483870967742,0.6
"735","by",35,1.75483870967742,0.6
"736","forensic",36,1.55483870967742,0.6
"737","scientists.",37,1.35483870967742,0.6
"738","While",38,1.15483870967742,0.6
"739","these",39,1,0.6
"740","algorithms",40,1,0.6
"741","would",41,1,0.6
"742","mark",42,1,0.6
"743","an",43,1,0.6
"744","improvement",44,1,0.6
"745","over",45,1,0.6
"746","current",46,1,0.6
"747","subjective",47,1,0.6
"748","comparison",48,1,0.6
"749","methods,",49,1,0.6
"750","individuals",50,1,0.6
"751","without",51,1,0.6
"752","a",52,1,0.6
"753","statistical",53,1,0.6
"754","background",54,1,0.6
"755","may",55,1,0.6
"756","struggle",56,1,0.6
"757","with",57,1,0.6
"758","the",58,1,0.6
"759","statistical",59,1,0.6
"760","concepts",60,1,0.6
"761","and",61,1,0.6
"762","language",62,1,0.6
"763","necessary",63,1,0.6
"764","for",64,1,0.6
"765","describing",65,1,0.6
"766","algorithmic",66,1,0.6
"767","methods.",67,1,0.6
"768","If",68,1.34166666666667,0.6
"769","algorithms",69,1.54166666666667,0.6
"770","are",70,1.74166666666667,0.6
"771","to",71,1.94166666666667,0.6
"772","be",72,2.14166666666667,0.6
"773","used,",73,2,0.6
"774","examiners",74,2,0.6
"775","must",75,2,0.6
"776","be",76,2,0.6
"777","able",77,2,0.6
"778","to",78,2,0.6
"779","testify",79,2,0.6
"780","about",80,2,0.6
"781","their",81,2,0.6
"782","use",82,2,0.6
"783","in",83,2,0.6
"784","a",84,2,0.6
"785","way",85,2,0.6
"786","that",86,2,0.6
"787","is",87,2,0.6
"788","accessible",88,1.97391304347826,0.6
"789","to",89,1.77391304347826,0.6
"790","the",90,1.57391304347826,0.6
"791","jury.",91,1.49391304347826,0.6
"792","In",92,1.49391304347826,0.6
"793","a",93,1.52,0.6
"794","series",94,1.72,0.6
"795","of",95,1.90095238095238,0.6
"796","studies,",96,1.58095238095238,0.6
"797","we",97,1.18095238095238,0.6
"798","conduct",98,0.780952380952381,0.6
"799","an",99,0.671861471861472,0.6
"800","assessment",100,0.690909090909091,0.6
"801","of",101,1.09090909090909,0.6
"802","language",102,1.49090909090909,0.6
"803","and",103,1.89090909090909,0.6
"804","supporting",104,2,0.6
"805","visual",105,2,0.6
"806","aids",106,2,0.6
"807","which",107,2,0.6
"808","might",108,2,0.6
"809","be",109,2,0.6
"810","used",110,2,0.6
"811","to",111,2,0.6
"812","explain",112,2,0.6
"813","bullet",113,3.60293650793651,0.6
"814","matching",114,3.20293650793651,0.6
"815","algorithms.",115,2.80293650793651,0.6
"816","In",116,2.40293650793651,0.6
"817","the",117,2.00293650793651,0.6
"818","initial",118,0,0.6
"819","study,",119,0,0.6
"820","we",120,0,0.6
"821","encountered",121,0,0.6
"822","a",122,0.151515151515152,0.6
"823","response",123,0.151515151515152,0.6
"824","type",124,0.151515151515152,0.6
"825","calibration",125,0.151515151515152,0.6
"826","issue",126,0.293620414673046,0.6
"827","-",127,NA,0.6
"828","individuals",128,0.342105263157895,0.6
"829","thought",129,0.542105263157895,0.6
"830","highly",130,0.742105263157895,0.6
"831","of",131,0.942105263157895,0.6
"832","the",132,1,0.6
"833","forensic",133,1,0.6
"834","witness",134,1,0.6
"835","and",135,1,0.6
"836","evidence",136,1,0.6
"837","regardless",137,1,0.6
"838","of",138,1,0.6
"839","experimental",139,1,0.6
"840","conditions,",140,1,0.6
"841","'maxing",141,1,0.6
"842","out'",142,1,0.6
"843","Likert",143,1,0.6
"844","response",144,1,0.6
"845","scales",145,1,0.6
"846","and",146,1,0.6
"847","leaving",147,1,0.6
"848","us",148,1,0.6
"849","unable",149,1,0.6
"850","to",150,1,0.6
"851","tell",151,1,0.6
"852","if",152,1,0.6
"853","the",153,1,0.6
"854","conditions",154,1,0.6
"855","had",155,1,0.6
"856","any",156,1,0.6
"857","effect.",157,1,0.6
"858","While",158,1,0.6
"859","this",159,1,0.6
"860","study",160,1,0.6
"861","indicated",161,1,0.6
"862","that",162,1,0.6
"863","individuals",163,1,0.6
"864","overall",164,1,0.6
"865","found",165,1,0.6
"866","the",166,1,0.6
"867","testimony",167,1,0.6
"868","to",168,1,0.6
"869","be",169,1,0.6
"870","reliable,",170,1,0.6
"871","credible,",171,1,0.6
"872","and",172,1,0.6
"873","scientific,",173,1,0.6
"874","it",174,1,0.6
"875","did",175,1,0.6
"876","not",176,1,0.6
"877","readily",177,1,0.6
"878","provide",178,1,0.6
"879","information",179,1,0.6
"880","about",180,1.14,0.6
"881","our",181,0.94,0.6
"882","question",182,0.74,0.6
"883","of",183,0.54,0.6
"884","interest.",184,0.34,0.6
"885","Additional",185,0,0.6
"886","data",186,0,0.6
"887","from",187,0,0.6
"888","this",188,0,0.6
"889","study",189,0,0.6
"890","was",190,0,0.6
"891","found",191,0,0.6
"892","in",192,0,0.6
"893","the",193,0,0.6
"894","participants'",194,0,0.6
"895","note",195,0,0.6
"896","pads.",196,0,0.6
"897","Through",197,0,0.6
"898","cleaning",198,0,0.6
"899","sequential",199,0,0.6
"900","notes",200,0,0.6
"901","and",201,0,0.6
"902","designing",202,0,0.6
"903","a",203,0,0.6
"904","method",204,0,0.6
"905","for",205,0,0.6
"906","highlighting",206,0,0.6
"907","study",207,0,0.6
"908","transcripts",208,0,0.6
"909","according",209,0,0.6
"910","to",210,0,0.6
"911","the",211,0,0.6
"912","frequency",212,0,0.6
"913","of",213,0,0.6
"914","collocations",214,0,0.6
"915","in",215,0,0.6
"916","participant",216,0,0.6
"917","notes,",217,0,0.6
"918","we",218,0,0.6
"919","can",219,0,0.6
"920","determine",220,0,0.6
"921","which",221,0,0.6
"922","portions",222,0,0.6
"923","of",223,0,0.6
