"","words","word_num","Freq","ngram"
"145","scales",145,1,2
"146","and",146,1,2
"147","leaving",147,1,2
"148","us",148,1,2
"149","unable",149,1,2
"150","to",150,1,2
"151","tell",151,1,2
"152","if",152,1,2
"153","the",153,1,2
"154","conditions",154,1,2
"155","had",155,1,2
"156","any",156,1,2
"157","effect.",157,1,2
"158","While",158,1,2
"159","this",159,1,2
"160","study",160,1,2
"161","indicated",161,1,2
"162","that",162,1,2
"163","individuals",163,1,2
"164","overall",164,1,2
"165","found",165,1,2
"166","the",166,1,2
"167","testimony",167,1,2
"168","to",168,1,2
"169","be",169,1,2
"170","reliable,",170,1,2
"171","credible,",171,1,2
"172","and",172,1,2
"173","scientific,",173,1,2
"174","it",174,1,2
"175","did",175,1,2
"176","not",176,1,2
"177","readily",177,1,2
"178","provide",178,1,2
"179","information",179,1,2
"180","about",180,1.16923076923077,2
"181","our",181,0.969230769230769,2
"182","question",182,0.769230769230769,2
"183","of",183,0.569230769230769,2
"184","interest.",184,0.369230769230769,2
"185","Additional",185,0,2
"186","data",186,0,2
"187","from",187,0,2
"188","this",188,0,2
"189","study",189,0,2
"190","was",190,0,2
"191","found",191,0,2
"192","in",192,0,2
"193","the",193,0,2
"194","participants'",194,0,2
"195","note",195,0,2
"196","pads.",196,0,2
"197","Through",197,0,2
"198","cleaning",198,0,2
"199","sequential",199,0,2
"200","notes",200,0,2
"201","and",201,0,2
"202","designing",202,0,2
"203","a",203,0,2
"204","method",204,0,2
"205","for",205,0,2
"206","highlighting",206,0,2
"207","study",207,0,2
"208","transcripts",208,0,2
"209","according",209,0,2
"210","to",210,0,2
"211","the",211,0,2
"212","frequency",212,0,2
"213","of",213,0,2
"214","collocations",214,0,2
"215","in",215,0,2
"216","participant",216,0,2
"217","notes,",217,0,2
"218","we",218,0,2
"219","can",219,0,2
"220","determine",220,0,2
"221","which",221,0,2
"222","portions",222,0,2
"223","of",223,0,2
"224","testimony",224,0,2
"225","participants",225,0,2
"226","found",226,0,2
"227","'noteworthy'.",227,0,2
"228","We",228,0,2
"229","also",229,0,2
"230","conducted",230,0.17037037037037,2
"231","a",231,0.37037037037037,2
"232","study",232,0.52037037037037,2
"233","on",233,0.52037037037037,2
"234","response",234,0.52037037037037,2
"235","types",235,0.35,2
"236","to",236,0.511290322580645,2
"237","determine",237,0.561290322580645,2
"238","the",238,0.761290322580645,2
"239","consistency",239,0.961290322580645,2
"240","of",240,1.16129032258065,2
"241","participant",241,1,2
"242","responses",242,1,2
"243","across",243,1,2
"244","response",244,1,2
"245","types,",245,1,2
"246","compare",246,1,2
"247","a",247,1,2
"248","variety",248,1,2
"249","of",249,1,2
"250","response",250,1,2
"251","types,",251,1,2
"252","and",252,1,2
"253","determine",253,1,2
"254","which",254,1,2
"255","response",255,1,2
"256","type",256,1,2
"257","may",257,1,2
"258","be",258,1,2
"259","appropriately",259,1,2
"260","calibrated",260,1,2
"261","for",261,1,2
"262","addressing",262,1,2
"263","the",263,1,2
"264","initial",264,1,2
"265","research",265,1,2
"266","question",266,1,2
"267","of",267,1,2
"268","jury",268,1,2
"269","perception",269,1,2
"270","of",270,1.39306201550388,2
"271","algorithms",271,1.58612403100775,2
"272","and",272,1.98612403100775,2
"273","demonstrative",273,1.78612403100775,2
"274","evidence.",274,1.58612403100775,2
"275","The",275,1.35139534883721,2
"276","response",276,1.15833333333333,2
"277","types",277,0.758333333333333,2
"278","used",278,0.958333333333333,2
"279","in",279,1.15833333333333,2
"280","this",280,1,2
"281","investigation",281,1,2
"282","include",282,1,2
"283","the",283,1,2
"284","participant's",284,1,2
"285","interpretation",285,1,2
"286","of",286,2.00311680911681,2
"287","the",287,2.00311680911681,2
"288","strength",288,2.00311680911681,2
"289","of",289,2.00311680911681,2
"290","evidence",290,2.00311680911681,2
"291","(Likert",291,1,2
"292","scale),",292,1,2
"293","conviction",293,1,2
"294","decision",294,1,2
"295","(binary),",295,1,2
"296","opinion",296,1,2
"297","of",297,1,2
"298","guilt",298,1,2
"299","(binary),",299,1,2
"300","willingness",300,1,2
"301","to",301,1,2
"302","bet",302,1,2
"303","on",303,1,2
"304","their",304,1,2
"305","opinion",305,1,2
"306","of",306,1,2
"307","guilt",307,1,2
"308","(numeric),",308,1,2
"309","probability",309,1,2
"310","of",310,1,2
"311","guilt",311,1,2
"312","(numeric),",312,1,2
"313","and",313,1,2
"314","chance",314,1,2
"315","of",315,1,2
"316","guilt",316,1,2
"317","/innocence",317,1,2
"318","(numeric",318,0.8,2
"319","or",319,0.6,2
"320","multiple",320,0.4,2
"321","choice).",321,0.2,2
"322","The",322,0,2
"323","note",323,0,2
"324","cleaning,",324,0,2
"325","text",325,0,2
"326","analysis,",326,0,2
"327","and",327,0,2
"328","testimony",328,0,2
"329","tools",329,0,2
"330","we",330,0,2
"331","developed",331,0,2
"332","throughout",332,0,2
"333","this",333,0,2
"334","series",334,0,2
"335","of",335,0,2
"336","experiments",336,0,2
"337","will",337,0,2
"338","benefit",338,0,2
"339","our",339,0,2
"340","future",340,0,2
"341","research",341,0,2
"342","in",342,0,2
"343","jury",343,0,2
"344","perception,",344,0,2
"345","as",345,0,2
"346","well",346,0,2
"347","as",347,0,2
"348","future",348,0,2
"349","transcript",349,0,2
"350","studies.",350,0,2
"351","Subjective",1,2,3
"352","pattern",2,2,3
"353","comparison",3,2,3
"354","has",4,2,3
"355","been",5,2,3
"356","subject",6,2,3
"357","to",7,2,3
"358","increased",8,2,3
"359","scrutiny",9,2,3
"360","by",10,2,3
"361","the",11,2,3
"362","courts",12,2,3
"363","and",13,2,3
"364","by",14,2,3
"365","the",15,2,3
"366","general",16,2,3
"367","public,",17,2,3
"368","resulting",18,2,3
"369","in",19,2.66030769230769,3
"370","an",20,2.66030769230769,3
"371","increased",21,2.66030769230769,3
"372","interest",22,2.66030769230769,3
"373","in",23,2.66030769230769,3
"374","pattern",24,2,3
"375","comparison",25,2,3
"376","algorithms",26,2,3
"377","that",27,2,3
"378","provide",28,2,3
"379","quantitative",29,2,3
"380","assessments",30,2,3
"381","of",31,2,3
"382","similarity",32,2,3
"383","for",33,2.16,3
"384","use",34,1.96,3
"385","by",35,1.76,3
"386","forensic",36,1.56,3
"387","scientists.",37,1.36,3
"388","While",38,1,3
"389","these",39,1,3
"390","algorithms",40,1,3
"391","would",41,1,3
"392","mark",42,1,3
"393","an",43,1,3
"394","improvement",44,1,3
"395","over",45,1,3
"396","current",46,1,3
"397","subjective",47,1,3
"398","comparison",48,1,3
"399","methods,",49,1,3
"400","individuals",50,1,3
"401","without",51,1,3
"402","a",52,1,3
"403","statistical",53,1,3
"404","background",54,1,3
"405","may",55,1,3
"406","struggle",56,1,3
"407","with",57,1,3
"408","the",58,1,3
"409","statistical",59,1,3
"410","concepts",60,1,3
"411","and",61,1,3
"412","language",62,1,3
"413","necessary",63,1,3
"414","for",64,1,3
"415","describing",65,1,3
"416","algorithmic",66,1,3
"417","methods.",67,1,3
"418","If",68,1.35,3
"419","algorithms",69,1.55,3
"420","are",70,1.75,3
"421","to",71,1.95,3
"422","be",72,2.15,3
"423","used,",73,2,3
"424","examiners",74,2,3
"425","must",75,2,3
"426","be",76,2,3
"427","able",77,2,3
"428","to",78,2,3
"429","testify",79,2,3
"430","about",80,2,3
"431","their",81,2,3
"432","use",82,2,3
"433","in",83,2,3
"434","a",84,2,3
"435","way",85,2,3
"436","that",86,2,3
"437","is",87,2,3
"438","accessible",88,1.975,3
"439","to",89,1.775,3
"440","the",90,1.575,3
"441","jury.",91,1.375,3
"442","In",92,1.375,3
"443","a",93,1.4,3
"444","series",94,1.6,3
"445","of",95,1.78181818181818,3
"446","studies,",96,1.58181818181818,3
"447","we",97,1.18181818181818,3
"448","conduct",98,0.781818181818182,3
"449","an",99,0.675935828877005,3
"450","assessment",100,0.694117647058824,3
"451","of",101,1.09411764705882,3
"452","language",102,1.49411764705882,3
"453","and",103,1.89411764705882,3
"454","supporting",104,2,3
"455","visual",105,2,3
"456","aids",106,2,3
"457","which",107,2,3
"458","might",108,2,3
"459","be",109,2,3
"460","used",110,2,3
"461","to",111,2,3
"462","explain",112,2,3
"463","bullet",113,1.97575757575758,3
"464","matching",114,1.57575757575758,3
"465","algorithms.",115,1.17575757575758,3
"466","In",116,0.775757575757576,3
"467","the",117,0.375757575757576,3
"468","initial",118,0,3
"469","study,",119,0,3
"470","we",120,0,3
"471","encountered",121,0,3
"472","a",122,0.152941176470588,3
"473","response",123,0.152941176470588,3
"474","type",124,0.152941176470588,3
"475","calibration",125,0.152941176470588,3
"476","issue",126,0.152941176470588,3
"477","-",127,NA,3
"478","individuals",128,0.345945945945946,3
"479","thought",129,0.545945945945946,3
"480","highly",130,0.745945945945946,3
"481","of",131,0.945945945945946,3
"482","the",132,1.14594594594595,3
"483","forensic",133,1,3
"484","witness",134,1,3
"485","and",135,1,3
"486","evidence",136,1,3
"487","regardless",137,1,3
"488","of",138,1,3
"489","experimental",139,1,3
"490","conditions,",140,1,3
"491","'maxing",141,1,3
"492","out'",142,1,3
"493","Likert",143,1,3
"494","response",144,1,3
"495","scales",145,1,3
"496","and",146,1,3
"497","leaving",147,1,3
"498","us",148,1,3
"499","unable",149,1,3
"500","to",150,1,3
"501","tell",151,1,3
"502","if",152,1,3
"503","the",153,1,3
"504","conditions",154,1,3
"505","had",155,1,3
"506","any",156,1,3
"507","effect.",157,1,3
"508","While",158,1,3
"509","this",159,1,3
"510","study",160,1,3
"511","indicated",161,1,3
"512","that",162,1,3
"513","individuals",163,1,3
"514","overall",164,1,3
"515","found",165,1,3
"516","the",166,1,3
"517","testimony",167,1,3
"518","to",168,1,3
"519","be",169,1,3
"520","reliable,",170,1,3
"521","credible,",171,1,3
"522","and",172,1,3
"523","scientific,",173,1,3
"524","it",174,1,3
"525","did",175,1,3
"526","not",176,1,3
"527","readily",177,1,3
"528","provide",178,1,3
"529","information",179,1,3
"530","about",180,1.14,3
"531","our",181,0.94,3
"532","question",182,0.74,3
"533","of",183,0.54,3
"534","interest.",184,0.34,3
"535","Additional",185,0,3
"536","data",186,0,3
"537","from",187,0,3
"538","this",188,0,3
"539","study",189,0,3
"540","was",190,0,3
"541","found",191,0,3
"542","in",192,0,3
"543","the",193,0,3
"544","participants'",194,0,3
"545","note",195,0,3
"546","pads.",196,0,3
"547","Through",197,0,3
"548","cleaning",198,0,3
"549","sequential",199,0,3
"550","notes",200,0,3
"551","and",201,0,3
"552","designing",202,0,3
"553","a",203,0,3
"554","method",204,0,3
"555","for",205,0,3
"556","highlighting",206,0,3
"557","study",207,0,3
"558","transcripts",208,0,3
"559","according",209,0,3
"560","to",210,0,3
"561","the",211,0,3
"562","frequency",212,0,3
"563","of",213,0,3
"564","collocations",214,0,3
"565","in",215,0,3
"566","participant",216,0,3
"567","notes,",217,0,3
"568","we",218,0,3
"569","can",219,0,3
"570","determine",220,0,3
"571","which",221,0,3
"572","portions",222,0,3
"573","of",223,0,3
"574","testimony",224,0,3
"575","participants",225,0,3
"576","found",226,0,3
"577","'noteworthy'.",227,0,3
"578","We",228,0,3
"579","also",229,0,3
"580","conducted",230,0.158620689655172,3
"581","a",231,0.358620689655172,3
"582","study",232,0.505287356321839,3
"583","on",233,0.505287356321839,3
"584","response",234,0.505287356321839,3
"585","types",235,0.346666666666667,3
"586","to",236,0.504242424242424,3
"587","determine",237,0.557575757575758,3
"588","the",238,0.757575757575758,3
"589","consistency",239,0.957575757575758,3
"590","of",240,1.15757575757576,3
"591","participant",241,1,3
"592","responses",242,1,3
"593","across",243,1,3
"594","response",244,1,3
"595","types,",245,1,3
"596","compare",246,1,3
"597","a",247,1,3
"598","variety",248,1,3
"599","of",249,1,3
"600","response",250,1,3
"601","types,",251,1,3
"602","and",252,1,3
"603","determine",253,1,3
"604","which",254,1,3
"605","response",255,1,3
"606","type",256,1,3
"607","may",257,1,3
"608","be",258,1,3
"609","appropriately",259,1,3
"610","calibrated",260,1,3
"611","for",261,1,3
"612","addressing",262,1,3
"613","the",263,1,3
"614","initial",264,1,3
"615","research",265,1,3
"616","question",266,1,3
"617","of",267,1,3
"618","jury",268,1,3
"619","perception",269,1,3
"620","of",270,1,3
"621","algorithms",271,1.25391551969625,3
"622","and",272,1.05391551969625,3
"623","demonstrative",273,0.853915519696251,3
"624","evidence.",274,0.653915519696251,3
"625","The",275,0.809471075251806,3
"626","response",276,0.555555555555556,3
"627","types",277,0.755555555555556,3
"628","used",278,0.955555555555555,3
"629","in",279,1.15555555555556,3
"630","this",280,1,3
"631","investigation",281,1,3
"632","include",282,1,3
"633","the",283,1,3
"634","participant's",284,1,3
"635","interpretation",285,1,3
"636","of",286,1.64962962962963,3
"637","the",287,1.64962962962963,3
"638","strength",288,1.64962962962963,3
"639","of",289,1.64962962962963,3
"640","evidence",290,1.64962962962963,3
"641","(Likert",291,1,3
"642","scale),",292,1,3
"643","conviction",293,1,3
"644","decision",294,1,3
"645","(binary),",295,1,3
"646","opinion",296,1,3
"647","of",297,1,3
"648","guilt",298,1,3
"649","(binary),",299,1,3
"650","willingness",300,1,3
"651","to",301,1,3
"652","bet",302,1,3
"653","on",303,1,3
"654","their",304,1,3
"655","opinion",305,1,3
"656","of",306,1,3
"657","guilt",307,1,3
"658","(numeric),",308,1,3
"659","probability",309,1,3
"660","of",310,1,3
"661","guilt",311,1,3
"662","(numeric),",312,1,3
"663","and",313,1,3
"664","chance",314,1,3
"665","of",315,1,3
"666","guilt",316,1,3
"667","/innocence",317,1,3
"668","(numeric",318,0.8,3
"669","or",319,0.6,3
"670","multiple",320,0.4,3
"671","choice).",321,0.2,3
"672","The",322,0,3
"673","note",323,0,3
"674","cleaning,",324,0,3
"675","text",325,0,3
"676","analysis,",326,0,3
"677","and",327,0,3
"678","testimony",328,0,3
"679","tools",329,0,3
"680","we",330,0,3
"681","developed",331,0,3
"682","throughout",332,0,3
"683","this",333,0,3
"684","series",334,0,3
"685","of",335,0,3
"686","experiments",336,0,3
"687","will",337,0,3
"688","benefit",338,0,3
"689","our",339,0,3
"690","future",340,0,3
"691","research",341,0,3
"692","in",342,0,3
"693","jury",343,0,3
"694","perception,",344,0,3
"695","as",345,0,3
"696","well",346,0,3
"697","as",347,0,3
"698","future",348,0,3
"699","transcript",349,0,3
"700","studies.",350,0,3
"701","Subjective",1,2,4
"702","pattern",2,2,4
"703","comparison",3,2,4
"704","has",4,2,4
"705","been",5,2,4
"706","subject",6,2,4
"707","to",7,2,4
"708","increased",8,2,4
"709","scrutiny",9,2,4
"710","by",10,2,4
"711","the",11,2,4
"712","courts",12,2,4
"713","and",13,2,4
"714","by",14,2,4
"715","the",15,2,4
"716","general",16,2,4
"717","public,",17,2,4
"718","resulting",18,2,4
"719","in",19,2.63960113960114,4
"720","an",20,2.63960113960114,4
"721","increased",21,2.63960113960114,4
"722","interest",22,2.63960113960114,4
"723","in",23,2.63960113960114,4
"724","pattern",24,2,4
"725","comparison",25,2,4
"726","algorithms",26,2,4
"727","that",27,2,4
"728","provide",28,2,4
"729","quantitative",29,2,4
"730","assessments",30,2,4
"731","of",31,2,4
"732","similarity",32,2,4
"733","for",33,2,4
"734","use",34,1.95483870967742,4
"735","by",35,1.75483870967742,4
"736","forensic",36,1.55483870967742,4
"737","scientists.",37,1.35483870967742,4
"738","While",38,1.15483870967742,4
"739","these",39,1,4
"740","algorithms",40,1,4
"741","would",41,1,4
"742","mark",42,1,4
"743","an",43,1,4
"744","improvement",44,1,4
"745","over",45,1,4
"746","current",46,1,4
"747","subjective",47,1,4
"748","comparison",48,1,4
"749","methods,",49,1,4
"750","individuals",50,1,4
"751","without",51,1,4
"752","a",52,1,4
"753","statistical",53,1,4
"754","background",54,1,4
"755","may",55,1,4
"756","struggle",56,1,4
"757","with",57,1,4
"758","the",58,1,4
"759","statistical",59,1,4
"760","concepts",60,1,4
"761","and",61,1,4
"762","language",62,1,4
"763","necessary",63,1,4
"764","for",64,1,4
"765","describing",65,1,4
"766","algorithmic",66,1,4
"767","methods.",67,1,4
"768","If",68,1.34166666666667,4
"769","algorithms",69,1.54166666666667,4
"770","are",70,1.74166666666667,4
"771","to",71,1.94166666666667,4
"772","be",72,2.14166666666667,4
"773","used,",73,2,4
"774","examiners",74,2,4
"775","must",75,2,4
"776","be",76,2,4
"777","able",77,2,4
"778","to",78,2,4
"779","testify",79,2,4
"780","about",80,2,4
"781","their",81,2,4
"782","use",82,2,4
"783","in",83,2,4
"784","a",84,2,4
"785","way",85,2,4
"786","that",86,2,4
"787","is",87,2,4
"788","accessible",88,1.97391304347826,4
"789","to",89,1.77391304347826,4
"790","the",90,1.57391304347826,4
"791","jury.",91,1.37391304347826,4
"792","In",92,1.37391304347826,4
"793","a",93,1.4,4
"794","series",94,1.6,4
"795","of",95,1.78095238095238,4
"796","studies,",96,1.58095238095238,4
"797","we",97,1.18095238095238,4
"798","conduct",98,0.780952380952381,4
"799","an",99,0.671861471861472,4
"800","assessment",100,0.690909090909091,4
"801","of",101,1.09090909090909,4
"802","language",102,1.49090909090909,4
"803","and",103,1.89090909090909,4
"804","supporting",104,2,4
"805","visual",105,2,4
"806","aids",106,2,4
"807","which",107,2,4
"808","might",108,2,4
"809","be",109,2,4
"810","used",110,2,4
"811","to",111,2,4
"812","explain",112,2,4
"813","bullet",113,1.975,4
"814","matching",114,1.575,4
"815","algorithms.",115,1.175,4
"816","In",116,0.775,4
"817","the",117,0.375,4
"818","initial",118,0,4
"819","study,",119,0,4
"820","we",120,0,4
"821","encountered",121,0,4
"822","a",122,0.151515151515152,4
"823","response",123,0.151515151515152,4
"824","type",124,0.151515151515152,4
"825","calibration",125,0.151515151515152,4
"826","issue",126,0.293620414673046,4
"827","-",127,NA,4
"828","individuals",128,0.342105263157895,4
"829","thought",129,0.542105263157895,4
"830","highly",130,0.742105263157895,4
"831","of",131,0.942105263157895,4
"832","the",132,1,4
"833","forensic",133,1,4
"834","witness",134,1,4
"835","and",135,1,4
"836","evidence",136,1,4
"837","regardless",137,1,4
"838","of",138,1,4
"839","experimental",139,1,4
"840","conditions,",140,1,4
"841","'maxing",141,1,4
"842","out'",142,1,4
"843","Likert",143,1,4
"844","response",144,1,4
"845","scales",145,1,4
"846","and",146,1,4
"847","leaving",147,1,4
"848","us",148,1,4
"849","unable",149,1,4
"850","to",150,1,4
"851","tell",151,1,4
"852","if",152,1,4
"853","the",153,1,4
"854","conditions",154,1,4
"855","had",155,1,4
"856","any",156,1,4
"857","effect.",157,1,4
"858","While",158,1,4
"859","this",159,1,4
"860","study",160,1,4
"861","indicated",161,1,4
"862","that",162,1,4
"863","individuals",163,1,4
"864","overall",164,1,4
"865","found",165,1,4
"866","the",166,1,4
"867","testimony",167,1,4
"868","to",168,1,4
"869","be",169,1,4
"870","reliable,",170,1,4
"871","credible,",171,1,4
"872","and",172,1,4
"873","scientific,",173,1,4
"874","it",174,1,4
"875","did",175,1,4
"876","not",176,1,4
"877","readily",177,1,4
"878","provide",178,1,4
"879","information",179,1,4
"880","about",180,1.14,4
"881","our",181,0.94,4
"882","question",182,0.74,4
"883","of",183,0.54,4
"884","interest.",184,0.34,4
"885","Additional",185,0,4
"886","data",186,0,4
"887","from",187,0,4
"888","this",188,0,4
"889","study",189,0,4
"890","was",190,0,4
"891","found",191,0,4
"892","in",192,0,4
"893","the",193,0,4
"894","participants'",194,0,4
"895","note",195,0,4
"896","pads.",196,0,4
"897","Through",197,0,4
"898","cleaning",198,0,4
"899","sequential",199,0,4
"900","notes",200,0,4
"901","and",201,0,4
"902","designing",202,0,4
"903","a",203,0,4
"904","method",204,0,4
"905","for",205,0,4
"906","highlighting",206,0,4
"907","study",207,0,4
"908","transcripts",208,0,4
"909","according",209,0,4
"910","to",210,0,4
"911","the",211,0,4
"912","frequency",212,0,4
"913","of",213,0,4
"914","collocations",214,0,4
"915","in",215,0,4
"916","participant",216,0,4
"917","notes,",217,0,4
"918","we",218,0,4
"919","can",219,0,4
"920","determine",220,0,4
"921","which",221,0,4
"922","portions",222,0,4
"923","of",223,0,4
"924","testimony",224,0,4
"925","participants",225,0,4
"926","found",226,0,4
"927","'noteworthy'.",227,0,4
"928","We",228,0,4
"929","also",229,0,4
"930","conducted",230,0.144827586206897,4
"931","a",231,0.344827586206897,4
"932","study",232,0.489655172413793,4
"933","on",233,0.489655172413793,4
"934","response",234,0.489655172413793,4
"935","types",235,0.344827586206897,4
"936","to",236,0.501077586206897,4
"937","determine",237,0.55625,4
"938","the",238,0.75625,4
"939","consistency",239,0.95625,4
"940","of",240,1.15625,4
"941","participant",241,1,4
"942","responses",242,1,4
"943","across",243,1,4
"944","response",244,1,4
"945","types,",245,1,4
"946","compare",246,1,4
"947","a",247,1,4
"948","variety",248,1,4
"949","of",249,1,4
"950","response",250,1,4
"951","types,",251,1,4
"952","and",252,1,4
"953","determine",253,1,4
"954","which",254,1,4
"955","response",255,1,4
"956","type",256,1,4
"957","may",257,1,4
"958","be",258,1,4
"959","appropriately",259,1,4
"960","calibrated",260,1,4
"961","for",261,1,4
"962","addressing",262,1,4
"963","the",263,1,4
"964","initial",264,1,4
"965","research",265,1,4
"966","question",266,1,4
"967","of",267,1,4
"968","jury",268,1,4
"969","perception",269,1,4
"970","of",270,1,4
"971","algorithms",271,1.2312292358804,4
"972","and",272,1.0312292358804,4
"973","demonstrative",273,0.831229235880399,4
"974","evidence.",274,0.631229235880399,4
"975","The",275,0.779377384028547,4
"976","response",276,0.548148148148148,4
"977","types",277,0.748148148148148,4
"978","used",278,0.948148148148148,4
"979","in",279,1.14814814814815,4
"980","this",280,1,4
"981","investigation",281,1,4
"982","include",282,1,4
"983","the",283,1,4
"984","participant's",284,1,4
"985","interpretation",285,1,4
"986","of",286,1.62074074074074,4
"987","the",287,1.62074074074074,4
"988","strength",288,1.62074074074074,4
"989","of",289,1.62074074074074,4
"990","evidence",290,1.62074074074074,4
"991","(Likert",291,1,4
"992","scale),",292,1,4
"993","conviction",293,1,4
"994","decision",294,1,4
"995","(binary),",295,1,4
"996","opinion",296,1,4
"997","of",297,1,4
"998","guilt",298,1,4
"999","(binary),",299,1,4
"1000","willingness",300,1,4
"1001","to",301,1,4
"1002","bet",302,1,4
"1003","on",303,1,4
"1004","their",304,1,4
"1005","opinion",305,1,4
"1006","of",306,1,4
"1007","guilt",307,1,4
"1008","(numeric),",308,1,4
"1009","probability",309,1,4
"1010","of",310,1,4
"1011","guilt",311,1,4
"1012","(numeric),",312,1,4
"1013","and",313,1,4
"1014","chance",314,1,4
"1015","of",315,1,4
"1016","guilt",316,1,4
"1017","/innocence",317,1,4
"1018","(numeric",318,0.8,4
"1019","or",319,0.6,4
"1020","multiple",320,0.4,4
"1021","choice).",321,0.2,4
"1022","The",322,0,4
"1023","note",323,0,4
"1024","cleaning,",324,0,4
"1025","text",325,0,4
"1026","analysis,",326,0,4
"1027","and",327,0,4
"1028","testimony",328,0,4
"1029","tools",329,0,4
"1030","we",330,0,4
"1031","developed",331,0,4
"1032","throughout",332,0,4
"1033","this",333,0,4
"1034","series",334,0,4
"1035","of",335,0,4
"1036","experiments",336,0,4
"1037","will",337,0,4
"1038","benefit",338,0,4
"1039","our",339,0,4
"1040","future",340,0,4
"1041","research",341,0,4
"1042","in",342,0,4
"1043","jury",343,0,4
"1044","perception,",344,0,4
"1045","as",345,0,4
"1046","well",346,0,4
"1047","as",347,0,4
"1048","future",348,0,4
"1049","transcript",349,0,4
"1050","studies.",350,0,4
"1051","Subjective",1,2,5
"1052","pattern",2,2,5
"1053","comparison",3,2,5
"1054","has",4,2,5
"1055","been",5,2,5
"1056","subject",6,2,5
"1057","to",7,2,5
"1058","increased",8,2,5
"1059","scrutiny",9,2,5
"1060","by",10,2,5
"1061","the",11,2,5
"1062","courts",12,2,5
"1063","and",13,2,5
